TF	Gene	Confidence
Egr3	Atp1a1	0.782504492
Stat2	Gbp4	0.780561968
Zfx	Trappc10	0.773276165
Zfx	Son	0.767174836
Hif1a	Bnip3	0.743628757
Irf4	Fam3c	0.738661623
Hif1a	Egln1	0.734550644
Mga	Il12rb2	0.732686368
Irf4	Chchd7	0.730890436
Hif1a	Ero1l	0.727855029
Gabpa	Gpatch4	0.72027641
Cic	Itpk1	0.707345196
Cic	Emp1	0.697797049
E2f1	Smpd4	0.695521771
Tcf3	Naga	0.694256888
Mga	Flot1	0.688812262
Topors	Cdkn2d	0.679066952
Egr3	Nfatc1	0.675283296
Irf4	Psme1	0.672864138
Runx2	Tnfrsf18	0.664886846
Stat2	Clec2i	0.663169639
Irf4	Plod3	0.66232453
Irf4	Sfmbt2	0.661413666
Elf1	Larp1b	0.66015347
Batf	Ahnak	0.657611969
Klf4	Ccnd3	0.655568782
Stat3	Chmp4b	0.648877448
Stat3	Il21	0.647737501
Irf4	Afp	0.647303918
Stat3	Tnip2	0.644864533
Klf13	Slc9a3r1	0.6414903
E2f1	Anln	0.64009719
Fos	Pxmp2	0.636000122
Klf4	Papss1	0.634888983
Irf4	Pgrmc1	0.632657138
Klf7	Hmgcl	0.631219095
Klf4	Impa2	0.62959266
Fos	Dcxr	0.628346501
Stat2	Scml4	0.627752614
Stat2	Lta	0.626329783
Egr3	Smyd5	0.622378052
Myc	Brd3	0.619935506
Irf9	Parp9	0.617040975
Stat2	Inadl	0.616952046
Batf	Bmpr1a	0.613954636
Klf2	Zfp36l1	0.613076169
Runx2	Cd9	0.612580378
Tcf12	Capn2	0.612338721
Zfx	Smg5	0.609672746
Stat2	Adrb2	0.607957641
Stat2	Isg20	0.607241821
Stat3	Chm	0.606463894
Nr1d2	Stab1	0.606298326
Stat3	Rorc	0.604357748
Stat3	Rora	0.603760486
Sp2	Cd81	0.602189694
Tcf3	Vapb	0.600645737
Nr1h2_Nr1h3	Acox1	0.600239555
Sp2	H2afx	0.599935619
Klf4	Rras	0.599879154
Gabpa	Heatr1	0.599387915
Hif1a	Pgm2	0.598529161
Tef	Galnt3	0.595945366
Sp3	Hk1	0.594699864
Srebf1	Stx7	0.591963588
Cic	Ptprj	0.591268568
Pou2f2	Stat4	0.590673658
Zfx	Slc9a8	0.590623769
Hif1a	Sap30	0.590015629
Elk3	Wdr1	0.589059935
Irf4	Cox17	0.584847714
Klf7	Qars	0.583544359
Pou2f2	Klf4	0.583543823
Pou2f2	Bnip3	0.583010527
Irf8	Ifih1	0.582342961
Zfp281	Pacs1	0.580794514
Zbtb7b	Rps6ka3	0.580677283
Sp3	Xpnpep1	0.579476274
Foxo1	Sepp1	0.579457918
Fosl1	Bzw2	0.578100032
Maff	Polr3gl	0.575786831
Nr1d2	Il1r1	0.574989036
Batf	Trps1	0.574281157
Klf7	Galk1	0.57235982
Foxo1	Crem	0.571866945
Egr1	Eif4ebp1	0.571764237
Creb1	Txndc17	0.571374672
Patz1	Ssbp4	0.570725296
Stat2	BC094916	0.570430338
Irf4	Ebag9	0.569155323
Fos	Anxa2	0.569019008
Maff	Cxcl10	0.568204008
Creb1	Lgals7	0.566904442
Bhlhe40	Cnnm3	0.565027446
Bhlhe40	Foxo1	0.564680915
E2f1	Rps14	0.56371323
Zbtb7b	Nfat5	0.563632429
Fli1	Rabggta	0.562606448
Cebpb	Marcks	0.562335768
Sp3	Cdc25b	0.562288361
Irf4	Cpox	0.560769166
Srebf1	Anln	0.560546734
Irf4	Fas	0.560337348
Foxo1	Cdkn1b	0.560063158
Irf2	Papolg	0.558527276
Sp2	Tmbim1	0.557115138
Batf	Lrba	0.556717928
Klf4	Chst12	0.555934633
Foxn2	Trat1	0.554690622
Irf8	Serpinb9	0.553472879
