TF	Gene	Confidence
Egr1	Kdelc1	0.947017038
Pou2af1	Ets2	0.937789614
Pou2af1	Inadl	0.927862641
Zfx	Klf2	0.927618723
Cic	Tgm2	0.922900568
Bach1	Gripap1	0.919402532
Cic	Il9	0.91765834
Elk3	Ypel3	0.914796916
E2f1	Exo1	0.912844959
Pknox1	Tle4	0.912723043
Zfx	Parp6	0.911995817
Zbtb7b	Zfp36	0.908271239
Cic	Ptprj	0.908122783
Zfx	Son	0.907273315
Batf	Ccng2	0.906262403
Egr1	Mmachc	0.905248843
Zbtb7b	Maff	0.903150619
Fos	Impa2	0.9015098
Rreb1	Dusp1	0.897656952
Irf4	Cpox	0.897313111
Nr3c1	Abcb1b	0.896985974
Zbtb7b	Klf13	0.896764077
Arid3a	Ccdc50	0.891867085
E2f1	Dtl	0.8918491
Elk4	Lrrc59	0.890248545
Sox4	Cmah	0.888784347
Pou2f2	Tsc22d3	0.888465384
Bach1	Fyn	0.88724804
Batf	Fez2	0.885009332
Cic	Alpk2	0.882495039
Pou2f2	Ptpre	0.881988731
Gabpa	Ecd	0.880951083
Crem	H2-Eb1	0.878024625
Egr1	Zfp239	0.877036534
Cebpb	Dcxr	0.876280324
Irf2	Ifi203	0.874861936
Pou2af1	Sell	0.872753893
Zbtb7b	Gabbr1	0.87205349
Egr1	Il12rb1	0.870941438
Elk4	Gart	0.869480497
Gabpa	Mecr	0.868747584
Cic	Il17a	0.868301933
Nr4a3	Plod3	0.865629541
Sp2	Rfwd3	0.865529765
Bhlhe40	Skil	0.864017308
Cebpg	Cdkn1b	0.864004017
Hbp1	B3gnt2	0.863994573
Egr1	H2afx	0.86331835
Gabpa	Clk3	0.862337974
Fos	Ccnd3	0.860938059
Crem	H2-Aa	0.860214104
Hbp1	Spry1	0.860189408
Zbtb7b	Rrad	0.860015464
Pou2f2	Adrb2	0.859211009
Irf2	Arhgef3	0.858442355
Klf7	Psmd8	0.856093681
Srebf1	C2cd2l	0.855748562
Foxo3	Eif4e3	0.855256217
Rela	Ccng2	0.854909399
Creb3l2	A430005L14Rik	0.854745979
Foxk2_Foxp1...	Tmem71	0.854442783
Batf	Spata6	0.854288345
Stat2	Rbpj	0.849763215
Gabpa	Gpatch4	0.848158581
Sox4	Sh3kbp1	0.845492494
Bach1	Qrich1	0.844412229
Hbp1	Pvt1	0.843850348
Fos	Vim	0.842184858
Myc	Bcl2l1	0.841315056
Dbp	Trib2	0.841032839
Foxk2_Foxp1...	Sepp1	0.840733886
Srebf1	Gla	0.840263655
Egr1	Vdac1	0.839955813
Fli1	Rabggta	0.839452738
Foxn2	Dpp4	0.838892661
Pou2f2	Kctd12	0.838843798
Egr1	Gusb	0.837923546
Egr1	Maoa	0.837394099
Elk3	Gltscr2	0.831303328
Elk3	Map3k1	0.828586516
Irf4	Mbtd1	0.827211843
Irf2	Zfp426	0.826832684
Elk3	Scml4	0.826697127
Nr3c1	Gemin6	0.826514039
Myc	Rpn1	0.824947498
Nr4a1	Ptger2	0.82398867
Cic	Anxa3	0.823457384
Sox4	Smarca2	0.820450346
Egr1	0610007P14Rik	0.819600805
Pou2f2	Arl4c	0.817488089
Hsf1	Cdc23	0.814692801
Irf4	Zscan21	0.814475355
Hif1a	Ero1l	0.814458591
Zbtb7b	Cxcr4	0.813613324
Egr1	Dynll2	0.813421414
Rxra	Gemin6	0.811597766
Pou2f2	Cbx4	0.811292336
Hbp1	Per2	0.8111477
Irf2	Nfkbie	0.810001141
Nfatc1	Mmachc	0.80862159
Rxra	Dhcr24	0.808350716
Cic	Emp1	0.807636
Batf	Sec24d	0.806528111
Batf	Polr3gl	0.805675351
Hbp1	Nfkb1	0.804952963
Egr1	Syce2	0.803611354
Pou2f2	S1pr1	0.803536272
Sp2	Ggct	0.80311206
Zbtb7b	Gmfg	0.80302164
Myc	Dctpp1	0.802975421
E2f1	Pmm1	0.802970744
Irf2	Mbp	0.801917087
Klf7	Nxn	0.801509444
Stat2	Trim12a	0.801308232
Foxo3	Aes	0.80038375
Egr2	Klf13	0.800190679
Rreb1	Epc1	0.798975463
Rreb1	Utrn	0.798302191
Sp2	Ccbl2	0.798023612
Egr1	Galk1	0.797537814
Rara	Sema4a	0.796753266
Bcl6	Lpxn	0.796431245
Nr4a2	Parp8	0.795171627
Nfatc1	Rcl1	0.79479381
Jun	Adam19	0.79439745
Rreb1	Qprt	0.79408621
Batf	Bid	0.791460989
Batf	Cyth1	0.791458354
Irf8	Trim12a	0.791289146
Batf	Ostf1	0.789073168
Egr1	Aldoa	0.789058095
Zfp281	Sqstm1	0.789020293
Lef1	Nr4a1	0.788510432
Nr4a2	Rassf3	0.787834993
Myc	Thap4	0.787020832
Egr2	Pde2a	0.786816389
Batf	Capn2	0.786457178
Gabpa	Smyd5	0.785838581
Zfx	Crebbp	0.785793187
Rreb1	Ikbke	0.784758958
Relb	Prkch	0.78464793
Arid3a	Dcxr	0.784601779
Cebpg	Abcg1	0.783636519
Pknox1	Tbxa2r	0.783499095
Mxi1	Acy1	0.783045986
Egr2	Dzip1	0.782882635
Arid3a	Zfp426	0.782454396
Nr4a2	Tmc6	0.782041784
Batf	Npc2	0.781973295
Myc	Atf6	0.781957237
Zfp281	Vamp2	0.781460948
Bcl6	Cog6	0.781406806
Irf2	Cd74	0.781369511
