TF	Target	Confidence
Topors	Cdkn2d	0.8882601187639217
Hif1a	Egln1	0.8852818835449747
E2f1	Dtl	0.8734126913792197
E2f1	Exo1	0.8729529833349783
Zmiz2	Ddx51	0.8560838349146984
Hif1a	Ero1l	0.8459066444632922
Gabpa	Gpatch4	0.8386641464253696
Hif1a	Slc2a1	0.8318206983444809
Hif1a	Pgm2	0.8299056989790483
Zmiz2	Slc23a2	0.8267180391598226
Cc2d1a	Pcbp4	0.8265914897054537
Gabpa	Heatr1	0.8250663312265221
Hif1a	Ppme1	0.8212570890841596
Nr1d2	Stab1	0.8199660182730744
Ash1l	Ell2	0.805848470805162
Mnt	Smpd4	0.8045950299035638
Zfp574	Ncdn	0.8035896620458823
Mbd6	R3hdm1	0.7968855415128229
Hif1a	Bnip3	0.7957036866908749
Elf1	Lrrc59	0.7947698570880303
Bhlhe40	Epb4.1l2	0.7947359404814736
Egr3	Ralb	0.7896465183330484
Mbd6	Brd3	0.7877681615138773
Hif1a	Jmjd6	0.7875994173958059
Zfp386	Spry1	0.7828259580246585
E2f1	Rfwd3	0.7824839081598645
E2f1	Anln	0.7813209966840233
Elf1	Txndc17	0.7777491196509252
Hif1a	Aldoa	0.7742329852188461
Cebpz	Acin1	0.7739000136589462
Nr1d2	Il1r1	0.7717687129946323
Elf1	Notch1	0.7688218560380281
Bhlhe40	Traf6	0.7667629734169689
Ski	Flna	0.7622227359990037
Gabpa	Utp20	0.7609501832089478
Cic	Il2rb	0.7562066009781928
Etv6	Rpp14	0.7551079315526541
Cebpz	Tnrc6a	0.7546599514088842
Nr1d2	Tnk2	0.7527272270491625
Tcf12	Cpox	0.7526210206227255
Hif1a	Hk1	0.7524188168266907
Sox4	Smarca2	0.7515175820398251
Zbtb7b	Klf13	0.7510638919376951
Tal2	Tmem38b	0.7488696530011035
Klf9	Ppm1d	0.7488517970713242
Arid2	Nefh	0.7481409224090534
Foxn2	Rasgrp1	0.7478489970183348
Bhlhe40	Znrf1	0.7449535814732051
Egr3	Rnh1	0.7425998865477933
Bhlhe40	Cd86	0.7417589142446852
Foxo1	Ypel5	0.7415937939131119
Erf	Ddx51	0.7409873488280894
Bhlhe40	Usp22	0.7384297616066509
Eea1	Cxcr4	0.7379047242822673
Irf4	Pgrmc1	0.7361455262925867
Egr3	Dph1	0.7355335965423333
Tcf3	Ada	0.7325236533749548
Plscr1	Plod2	0.7307701091286407
Zmiz2	Smyd5	0.7291618034322067
Maff	Mta3	0.728995506738269
Klf4	Spata6	0.7287562133296978
Hif1a	Pfkp	0.7284763926127555
Ski	Fbxo2	0.7279321332655628
Etv6	Exosc8	0.7274300767393344
Patz1	Ssbp4	0.726974442006838
Zfp277	Dnmt3b	0.7268231804823416
Cebpb	Nrp1	0.7266432813135274
Hif1a	Arrb1	0.7257111147605682
Atf6b	Atp1a1	0.7233484587493133
Zfp386	Emb	0.7232883167420696
Fos	H2afx	0.7229815112207834
Zfpm1	Acsl4	0.722554872061772
Irf9	Irf7	0.7222233838833001
Zfp280c	Cnot1	0.7218518903049649
Adnp	Rraga	0.7208629842977071
Fos	Rpa2	0.7171721759157359
Klf4	Chst12	0.7168721861594813
Elk3	Itpr1	0.7154127668089874
Stat3	Mtss1	0.7132238580166453
Klf4	Skap2	0.713175210401518
Creb1	Padi2	0.7125744175322285
Hif1a	Slc2a3	0.7122760762502776
Klf13	Acvr1b	0.7121974129157018
Egr1	Rpl14	0.71015746999708
Cebpz	Pik3ca	0.7101525723576648
Ikzf4	Heatr1	0.7091632577547331
Nr1h2	Acsl5	0.707164553332629
Irf4	Max	0.7056929804292666
Arid2	Syce2	0.7056490270036646
Mbd6	Mvp	0.7048540447646691
Egr3	Cnot1	0.7045597248368338
Cic	Capg	0.704473780865767
Elf1	M6pr	0.704194022568158
Egr3	Egr3	0.7039240115609948
Egr3	Clybl	0.7033924054323323
Foxp1	Dgat1	0.7030871798998697
Irf9	Rsad2	0.7027983471117221
Klf10	Tgfbr1	0.7027831723861641
Egr3	Stx7	0.7023977179746808
Cebpb	Samsn1	0.7022374921896399
Cxxc1	Gnb5	0.7011217120214381
Hif1a	H2-Ab1	0.7006129813760046
Arid2	Higd1a	0.6994284506015601
Arid2	Vdac1	0.6981487858094152
Elf1	Sepw1	0.6966550311547295
Nr1h2_Nr1h3	Rcsd1	0.6964932113752017
Ddit3	Kctd12	0.6964601027581561
Zeb2	Aqp3	0.6962896773257721
Etv6	Glipr1	0.6962792145774321
Foxo1	Sepp1	0.694941411382284
Elf1	Hmgn1	0.6945295978623394
Plscr1	Clic4	0.694457809189938
Ash1l	Fyco1	0.6939592292845358
Ahctf1	Dynll2	0.6920085357387097
Irf4	Ms4a4b	0.6919415249277463
Etv6	Id3	0.6906777381849161
Stat3	Tnip2	0.6884249996427045
Ncoa3	Ifngr2	0.6881805977298401
Mtf2	Fth1	0.6872874433797589
Etv6	Ggct	0.6868527314664621
Rela	Frmd4b	0.6866354530191154
Nr1d2	Il17a	0.6863398214619002
Irf4	Chchd7	0.6857241741424778
Klf4	Dhrs1	0.6849834337724039
Bhlhe40	Tgfbr1	0.6844994291765804
Irf9	Parp9	0.6841844866057443
Zeb2	Gnpda1	0.6831874987825954
Ash1l	Rdh11	0.682655940102677
Bhlhe40	Rcan3	0.6823623305550278
Hif1a	P4hb	0.6806674159060115
Irf4	Cox17	0.6806565810582037
Zfp35	Pde8a	0.6806218490506464
Ski	Dynll2	0.6788827955091452
Klf4	Stx7	0.6787606670297605
Etv6	Icam2	0.6787481953446817
Atf6b	Dhcr24	0.6782037809877555
Klf6	Batf	0.6779070188201068
Stat3	Chmp4b	0.6778600863481856
Zeb2	Plekho1	0.6776582793096249
Arid2	Tyms	0.6771276593707494
Cbx2	Ldlrap1	0.6770703556037652
Egr1	Dctpp1	0.6769725152055988
Elf1	Slc23a2	0.6761784679363099
Creb1	Lgals7	0.6759940439035653
Cc2d1a	Mapk7	0.6759658730388924
Stat3	Sesn1	0.6746547565084802
Creb1	Npc2	0.6746303983752231
Zeb2	Irf4	0.6743988984041136
Cic	Ikzf4	0.6732650005913199
Cggbp1	Pgam1	0.6731825101710076
Ncoa1	Lrba	0.6729275902001148
Ski	Ctsw	0.6728521227821957
Elf1	Ptprcap	0.6722328151893056
Sp3	Osbpl2	0.6721751735361037
Batf	Arhgef3	0.6718589353511952
Irf4	Foxp1	0.6716292744165668
Cebpb	Marcks	0.6713627166652347
Ikzf4	Abcb1b	0.6709375315631223
Foxo1	Cdkn1b	0.6705419841485483
Foxo1	Ypel3	0.6704011160322978
Cbx2	Sidt1	0.6703842911533543
Irf4	Clec2i	0.6690268667762027
Elf1	Chd7	0.6687159207171349
Zeb2	Penk	0.6682981627978017
Egr3	Notch1	0.6682603542679802
Nr1d2	Adam19	0.6680594138578497
Sp2	Ccbl2	0.6666874387206689
Zfp281	Rara	0.6658450884497615
Zfx	Pacs1	0.6653644621248421
Phf1	Cdk6	0.6650931054653011
Etv6	Mpdu1	0.6650389215606926
Foxn2	Npc2	0.6647290536644048
Gabpa	Smyd5	0.664598947895213
Foxo1	Mxi1	0.663509468783165
Mxd4	Slc1a4	0.663242224031179
Klf9	Ppme1	0.6631987595766229
Crem	Inpp1	0.6628203069427456
Nfkb2	Ptprs	0.6622025894887741
Egr3	Tgfbr1	0.6621726992982624
Cux1	Cmtm7	0.6618539275566726
Maff	Gja1	0.6608787281495165
Atf6b	Nfatc1	0.6600778120082428
Ncoa3	Picalm	0.659487476885376
Ikzf4	Ehd3	0.6577687686596565
Zfp280c	Pigb	0.6574560591586247
Atf6b	Snx19	0.6571338209205984
Egr3	Ifnar1	0.6570176808774907
Egr1	Ick	0.656566808320948
Mtf2	Txndc17	0.6555593163222115
Atf6b	Cep68	0.654243901807601
Cux1	Lrmp	0.65421101401979
Stat3	Calcrl	0.6526259688302283
Bhlhe40	Tab2	0.6520032740614323
Elf1	Egr3	0.6519992953744791
Klf6	Ptger2	0.651970941046262
Irf9	Stat2	0.6499671823888875
Zbtb7b	Rps6ka3	0.6497206518112677
Bhlhe40	Bmp2k	0.6491298743362728
Egr3	Tulp3	0.648548666868978
Irf9	Oasl2	0.6483608843501556
Ddit3	Mboat7	0.6482994743031462
Nr1h2	Tcf25	0.6467576097783202
Rela	Bcl3	0.6460417088410395
Arid2	Larp1b	0.6460045139322967
Bhlhe40	Trappc10	0.6458857741970818
Zfpm1	Kctd12	0.6453244191273763
Stat1	Zbp1	0.6450734084152434
Arid3a	Zfp426	0.6447089238246838
Cic	Mllt6	0.6446795056812873
Cebpb	Slc19a2	0.6446394100126387
Cc2d1a	Tyw1	0.6441877730403993
Hif1a	Sap30	0.6438598758566185
Hmga1_Hmga1-rs1	Gnptab	0.6432128453033148
Zfp35	Mgat4b	0.643057991539906
Zfp35	Ccdc92	0.6430556011338553
Egr3	Gpr83	0.6429945683995365
Drap1	Pknox1	0.6420563442281475
Klf3	Gsn	0.6418982376528164
Stat3	Trps1	0.6416694952443054
Eea1	Slc29a3	0.6416240264490983
Fli1	BC021614	0.6413456266374837
Cebpb	Rabggta	0.6413103190356965
Plscr1	Map3k8	0.6410847326473816
Zfp703	Zfpm1	0.640938797983728
Ash1l	Traf3	0.6408824924885153
Fosl1	Lsp1	0.6407455828509041
Rela	Mxi1	0.6404707613343887
Mxd4	Ypel3	0.6396475183020063
