TF	Target	Confidence
Ets1	Rbms2	0.9880338032340392
Arid2	Rbms2	0.9869245113577896
Egr1	Decr1	0.985019184879015
Zeb2	Plekho1	0.983895410381617
Egr1	Pdlim4	0.9824782261207258
Zbtb20	Prnp	0.9810515522349373
Arid2	Qrich1	0.9808515625034148
Bcl11b	Plekho1	0.9785775729320404
Hbp1	Hsd17b7	0.977874414545022
Klf4	Plekho1	0.9777251338596563
Arid2	Ctla4	0.97760116586882
Egr1	Gusb	0.9758798775232027
Elk4	Dusp2	0.9758128705434399
Elk4	Lrrc59	0.9754757352128757
Elk4	Cd5l	0.9749600210627034
Batf	Cnn2	0.9730999882402683
Hmgb1	Ada	0.9729625640304291
Srf	Antxr2	0.972644249810746
Pou2af1	Tnfrsf25	0.9710704616627261
Zbtb20	Osbpl2	0.9705745483925879
Bach1	Rel	0.9702187200999658
Skil	Tmtc4	0.9699767230852838
Arid2	Arhgap12	0.9697654861392169
Ikzf4	Rel	0.9695939505108627
Clock	Ccl1	0.9693527856491028
E2f1	Rfwd3	0.9689326446954516
E2f1	Riok3	0.9685982712370053
Nr4a2	Ada	0.9682589871511333
E2f1	Exo1	0.9681925616984441
Gabpa	1110057K04Rik	0.9678614494590235
Batf	Psme1	0.9674601246480437
Pou2af1	Igf2r	0.9673766589107595
Son	Mnda	0.966978910108467
Batf	Basp1	0.966947860029955
Irf7	Litaf	0.9662491603024905
Ahctf1	Fbxw2	0.9660258519519925
Ahctf1	Mvp	0.9659764275736714
Dzip1	Qprt	0.9656689396513067
Batf	M6pr	0.9655339750300677
Cic	Emp1	0.9649288971606426
Hbp1	Exoc6	0.9648576760200325
Zfp386	Plekho1	0.9647021341402454
Jun	Plekho1	0.9645818976186904
Elk4	Thoc3	0.964506210644474
Hmga1	Sptlc1	0.9644415388366525
Zfp202	Plekho1	0.9641242338897364
Fli1	Moap1	0.963974065288648
Foxo1	Ifit2	0.9639513941778345
Fos	Rpa2	0.9639436677294433
Irf9	Plekho1	0.9631714582628912
Egr2	Pdlim4	0.9630631445642449
Egr1	Gemin6	0.9625301029856298
Cic	Ptprj	0.9624557960626214
Bhlhe40	Ss18	0.9624282441949581
Pknox1	Tbx21	0.9624022572047433
Batf	Wwp1	0.9623692593325653
Lef1	Map3k8	0.9622091126017979
Phf1	Myb	0.9611895216398335
Fos	Rdh11	0.9609144455286436
Ahctf1	0610007P14Rik	0.960700800224599
Nr4a3	Slamf7	0.9606642087925965
Cic	Ctla2b	0.960336641910159
Batf	Arid3a	0.9597515193481037
Pou2f2	Slc19a2	0.9593838475238828
Gabpa	Utp20	0.9585715977045784
Rreb1	Bpnt1	0.9582309139221139
Arid2	Sesn1	0.9580605464605446
Foxk2_Foxp1...	Tspan13	0.9577708448623327
Mxi1	Rcl1	0.9575433347751637
Clock	Map3k1	0.9572007066370342
Elk3	Lclat1	0.9570729897915515
Ahctf1	Tyms-ps	0.9568291040480258
Arid2	Acsl5	0.9564924700558237
Arid2	Serpinf1	0.9564137012297335
Foxk2_Foxp1...	L1cam	0.956081838153568
Arid2	Tgoln1	0.9560143503624613
Rxra	Tmtc4	0.9559630419021038
