TF	Target	Confidence
Elk4	Lrrc59	0.9710070052664137
Egr1	Kdelc1	0.9707923840949034
Cic	Ptprj	0.9690411005117093
Cic	Tgm2	0.9682367162678951
Cic	Emp1	0.9637866622207881
E2f1	Exo1	0.9603396684419259
Cic	Il17a	0.9601483743634618
Egr1	Gusb	0.9575615723933688
Egr1	Abcg2	0.9519116983114488
Rxra	Ecd	0.9517036682583268
Fos	Ccnd3	0.9500714909789031
Bach1	Lpxn	0.948795940027691
Cic	Alpk2	0.9475080831328095
Bach1	Gripap1	0.9468085855439234
Bach1	Ptprc	0.945737198095696
Bach1	Fyn	0.9447236917777679
Cic	Il9	0.9443276490464484
Sox4	Itm2a	0.9434070143718312
E4f1	Egr2	0.9431624760964423
Cic	Anxa3	0.941556524651983
Batf	Ccng2	0.9411325515367978
Zbtb20	Znrf1	0.9410409762077372
Sox4	Smarca2	0.9390569549970108
Crem	Dnajc27	0.9383704725915074
Ahctf1	Tyms-ps	0.9379272573574615
Nr4a3	Ctsb	0.9378380066358769
Arid2	Idi1	0.9372084810097232
Batf	Aim1	0.9363300066980699
Batf	Pstpip1	0.936277151310261
Egr1	Hk2	0.9356034936190281
Arid2	Opn3	0.9340212976729744
Arid2	Socs2	0.933807151967576
Irf2	Ifih1	0.9317717920061344
Arid2	Dhcr24	0.9316885099895732
Cic	Tspan6	0.9315680256476415
E2f1	Haus8	0.9304449156390813
Nr3c1	Tmem19	0.930432651438556
Bach1	Ppp3ca	0.9294085028162966
Batf	Pou2f2	0.9285786218054563
Egr1	Uqcrq	0.9283006151703734
Ahctf1	Tprkb	0.9276517235185212
Rela	St3gal1	0.9273301987960465
E2f1	Cln6	0.9263316600649159
Foxo3	Edem1	0.9261188178081965
Arid3a	S1pr1	0.925211625512046
Ahctf1	0610007P14Rik	0.9239923620493644
Stat2	Abcg2	0.9223599543041783
Sp2	Rhebl1	0.9210854343777025
Irf2	Zfp426	0.9206537476828629
Cic	Cd5l	0.9196904917181227
Batf	Sec24d	0.9188042647471477
Jun	Egln3	0.9186417448981369
Batf	Cnnm3	0.9184892932855079
Hif1a	Ero1l	0.9181872683735001
Rreb1	Cdadc1	0.9178931952350721
Stat5b	Batf	0.9170299654569936
Nfatc1	Hk2	0.9166746392257497
Fos	Tubb6	0.9164476277073752
Rreb1	Dnmt3a	0.916318373643773
Ahctf1	Pmm1	0.9159063206272902
Cic	Il21	0.9155365793225677
Bach1	Arhgef3	0.9153305518352429
Batf	Aen	0.9151730861932652
Creb3l2	Gusb	0.9146614494237673
Skil	Aim1	0.9143630986087534
Batf	Itgb7	0.9131869392073718
Batf	Cmas	0.9125814150615571
Batf	Npc2	0.9121674270240729
Nr4a3	Capg	0.9118525465707726
Bhlhe40	Rnf149	0.911673571291767
Batf	Mbp	0.9109790999676197
Ahctf1	Tmem71	0.910937064786545
Bach1	4632428N05Rik	0.9108837882923136
Nr3c1	Abcb1b	0.9105805823692874
E2f1	Rpa2	0.9104165693290952
Hbp1	Pdcd1lg2	0.9101887839885814
Batf	Cnn2	0.9099203060998551
Cic	Hemk1	0.9098475346612171
Foxo3	Tbc1d14	0.9090999056225982
Ahctf1	Zfp239	0.9090557387955032
Atf2	Serpinc1	0.908856621101385
Zbtb7b	1190002N15Rik	0.9086019408457955
E2f1	Rfwd3	0.9084673077936317
Arid3a	Ccdc50	0.9076022831010935
Atf2	Eno3	0.9071138506805696
Egr1	Dctpp1	0.9070485210559013
Jun	Lpxn	0.9069421070867026
Elk3	Ostf1	0.9067673031802448
Arid3a	Serpinc1	0.9067306936711093
Foxo3	Ets1	0.9063499516777949
Gabpa	Gpatch4	0.9062359528113396
Bach1	Qrich1	0.9061789511159829
Batf	Mxi1	0.9056140317635091
Foxo1	Bcl2l1	0.9051285050839268
Batf	Wwp1	0.9047269129170293
Batf	Cd47	0.9045037676817717
Bach1	Egln3	0.9038815871780208
Atf2	Mina	0.9033264331445138
Jun	Nek6	0.9033001249527574
Batf	Tmem38b	0.9032343867449113
Batf	Klf7	0.902817547874014
Batf	Dnmt3a	0.902765865293432
Bach1	Taf7	0.9026025198971965
Cic	Ctla2b	0.9025124790061805
Egr1	Il12rb1	0.9021351062004734
Gabpa	Trmt5	0.9018192249579273
Dbp	Trib2	0.9018051539997298
Bach1	Tnfsf8	0.8998370859585942
Arid3a	Tnfsf8	0.8997800957879807
Batf	Crem	0.8997611200319565
Fos	H2afx	0.8996950259939753
Nfkb2	Plagl1	0.899404267095591
Hif1a	Bnip3	0.8993842312379591
Ahctf1	Sepw1	0.898834286918594
Crem	Tef	0.89878854603363
Egr1	Tmed3	0.897987272680112
Elk4	Naa20	0.8975502142788887
Irf4	Mnda	0.8973399872230405
Cic	Rbpj	0.8973294016852184
Irf7	Mnda	0.8970627317796108
Arid2	Stk39	0.8965981978264824
Ahctf1	Vdac1	0.8965203575996978
Cic	Ahr	0.8958323841890761
Phf1	Syne1	0.8957158349861958
E2f1	Cdc25b	0.8956637643710643
Tcf3	Rgs11	0.8955062486267585
Cic	Cyp11a1	0.895317806750681
Egr1	Retsat	0.8950392716174046
Fos	Moap1	0.8940122582985547
Ahr	Capn2	0.8936270174638916
Batf	Emb	0.8929221068406927
Rreb1	Bpnt1	0.8928942705366107
Cic	Aqp3	0.8925216727694857
Ahctf1	Dusp14	0.8920539450932344
Atf2	Slamf6	0.8917831157364177
Batf	Arrb1	0.8916564678886169
Ddit3	Sh3bp1	0.891568025871455
Cic	Gpr65	0.8907211850840839
Usf2	Cdadc1	0.8905574062775746
Myc	Thap4	0.8903420192155206
Klf4	Anxa4	0.8903255289037408
Batf	Capn2	0.8902864017654278
Fli1	Itpr1	0.8898025655692957
Egr1	Abcd3	0.8896050972197738
Arid2	Asnsd1	0.8895614170760175
Cic	Lgals1	0.8890419135602887
Zfp568	Mdn1	0.8889913160222697
E2f1	Ada	0.8888602455001943
Batf	Cdkn2d	0.888763211408613
Mxd4	Ypel3	0.8879221729735092
Hbp1	Spry1	0.8877951689265962
