TF Gene
BSU04730 BSU00160
BSU04730 BSU00170
BSU04730 BSU00520
BSU04730 BSU00530
BSU04730 BSU00830
BSU04730 BSU00840
BSU04730 BSU00850
BSU04730 BSU00860
BSU04730 BSU00870
BSU04730 BSU00880
BSU04730 BSU00910
BSU04730 BSU02100
BSU04730 BSU02110
BSU04730 BSU02590
BSU04730 BSU02830
BSU04730 BSU02840
BSU04730 BSU02890
BSU04730 BSU02900
BSU04730 BSU02910
BSU04730 BSU02920
BSU04730 BSU02930
BSU04730 BSU02940
BSU04730 BSU03130
BSU04730 BSU03910
BSU04730 BSU04190
BSU04730 BSU04200
BSU04730 BSU04210
BSU04730 BSU04220
BSU04730 BSU04370
BSU04730 BSU04380
BSU04730 BSU04400
BSU04730 BSU04430
BSU04730 BSU04710
BSU04730 BSU04720
BSU04730 BSU04730
BSU04730 BSU04740
BSU04730 BSU05150
BSU04730 BSU05490
BSU04730 BSU05500
BSU04730 BSU05790
BSU04730 BSU06590
BSU04730 BSU06660
BSU04730 BSU07550
BSU04730 BSU07680
BSU04730 BSU07750
BSU04730 BSU07760
BSU04730 BSU07770
BSU04730 BSU07850
BSU04730 BSU07880
BSU04730 BSU07890
BSU04730 BSU07900
BSU04730 BSU07920
BSU04730 BSU07930
BSU04730 BSU08490
BSU04730 BSU08500
BSU04730 BSU08510
BSU04730 BSU08570
BSU04730 BSU08580
BSU04730 BSU08590
BSU04730 BSU08600
BSU04730 BSU09140
BSU04730 BSU09390
BSU04730 BSU09450
BSU04730 BSU09530
BSU04730 BSU09540
BSU04730 BSU09690
BSU04730 BSU10430
BSU04730 BSU11120
BSU04730 BSU11490
BSU04730 BSU11500
BSU04730 BSU11839
BSU04730 BSU12150
BSU04730 BSU12160
BSU04730 BSU12170
BSU04730 BSU13010
BSU04730 BSU13020
BSU04730 BSU13160
BSU04730 BSU13170
BSU04730 BSU13640
BSU04730 BSU14210
BSU04730 BSU14660
BSU04730 BSU16640
BSU04730 BSU17240
BSU04730 BSU18510
BSU04730 BSU18520
BSU04730 BSU18530
BSU04730 BSU19150
BSU04730 BSU19240
BSU04730 BSU23300
BSU04730 BSU23329
BSU04730 BSU23340
BSU04730 BSU23830
BSU04730 BSU24000
BSU04730 BSU24010
BSU04730 BSU24020
BSU04730 BSU24490
BSU04730 BSU24500
BSU04730 BSU24740
BSU04730 BSU24750
BSU04730 BSU24760
BSU04730 BSU24770
BSU04730 BSU25290
BSU04730 BSU25300
BSU04730 BSU27020
BSU04730 BSU27750
BSU04730 BSU27760
BSU04730 BSU28340
BSU04730 BSU28500
BSU04730 BSU28830
BSU04730 BSU29100
BSU04730 BSU29110
BSU04730 BSU29410
BSU04730 BSU29760
BSU04730 BSU29770
BSU04730 BSU29780
BSU04730 BSU30650
BSU04730 BSU30700
BSU04730 BSU30930
BSU04730 BSU31280
BSU04730 BSU31380
BSU04730 BSU33200
BSU04730 BSU33400
BSU04730 BSU33410
BSU04730 BSU33530
BSU04730 BSU33610
BSU04730 BSU33620
BSU04730 BSU34540
BSU04730 BSU35180
BSU04730 BSU35310
BSU04730 BSU35670
BSU04730 BSU35830
BSU04730 BSU35970
BSU04730 BSU36670
BSU04730 BSU36680
BSU04730 BSU36720
BSU04730 BSU36960
BSU04730 BSU37210
BSU04730 BSU37240
BSU04730 BSU38180
BSU04730 BSU38430
BSU04730 BSU38610
BSU04730 BSU38620
BSU04730 BSU38630
BSU04730 BSU38720
BSU04730 BSU38830
BSU04730 BSU38930
BSU04730 BSU38940
BSU04730 BSU39040
BSU04730 BSU39050
BSU04730 BSU39810
BSU04730 BSU39840
BSU04730 BSU40000
BSU04730 BSU40030
BSU04730 BSU40450
BSU16470 BSU02050
BSU16470 BSU03440
BSU16470 BSU07350
BSU16470 BSU07360
BSU16470 BSU09370
BSU16470 BSU10380
BSU16470 BSU11570
BSU16470 BSU11940
BSU16470 BSU11950
BSU16470 BSU12120
BSU16470 BSU13680
BSU16470 BSU13690
BSU16470 BSU13950
BSU16470 BSU14010
BSU16470 BSU15960
