TF	Gene	Variance_Explained	Rank	Count	Sign
E2f1	Anapc1	0.7830554776152128	4980	2	1
Cic	Plod3	0.709984189426498	4977	2	1
Elk3	Aldh3a2	0.7042968466145374	4978	2	1
Batf	Spry1	0.7006985265383067	4978	2	-1
Batf	Riok3	0.6583288597567454	4975.5	2	1
Atf5	Plod3	0.645583079857119	4974.5	2	1
Patz1	Dusp6	0.6317117258937437	4972.5	2	1
Klf7	Papss1	0.5895139998499836	4972.5	2	1
Mxi1	Dusp6	0.5807252365647456	4970	2	1
Scml4	Dusp6	0.5352611642983145	4967	2	1
Fli1	Riok3	0.5154231176668171	4963.5	2	1
Arid2	Psph	0.5048089672497111	4961.5	2	1
E2f1	Slc38a1	0.4961676267353912	4963	2	1
Fli1	Emb	0.4755982983105177	4954.5	2	1
Klf10_Klf11	Plod3	0.4745853788806591	4961	2	1
Pou6f1	Emb	0.45834258227879004	4958	2	1
Cebpb	Riok3	0.4381671071178468	4946	2	-1
Irf1	Emb	0.42855662311409903	4952.5	2	1
Bhlhe40	Dhrs1	0.42202098490101375	4936	2	-1
E2f1	Golm1	0.4168758916138681	4948.5	2	1
Batf	Papss1	0.41408123478853937	4945	2	1
Pou2f2	Spry1	0.41253980819389136	4947	2	1
Maff	Gja1	0.3934730525644994	4945.5	2	1
Arid2	Tfg	0.39099713207228115	4943	2	1
Smad4	Golm1	0.37948091726297367	4940	2	1
Cux1	Dusp6	0.3789155955495213	4940.5	2	1
Arid3a	Dusp6	0.3787334848993238	4935.5	2	1
Bhlhe40	Sh2d3c	0.37130951406366625	4939.5	2	1
Klf7	Psph	0.36938465145843696	4937	2	1
Mxi1	Plod3	0.36582190949402227	4929.5	2	1
Foxn2	Papss1	0.36528267246802604	4926.5	2	1
Bach1	Slc38a1	0.3646230490882458	4925	2	1
Ahctf1	Sh2d3c	0.362284135249844	4936.5	2	1
Ankzf1	Aldh3a2	0.3609874913924582	4931.5	2	1
Nfe2l2	Ube2v1	0.3596389855842163	4935.5	2	1
Klf4	Dhrs1	0.3579280015571697	4923	2	1
Arid5a	Psph	0.3515783220906163	4933	2	1
Jun	Slc38a1	0.34469729022183465	4925.5	2	-1
Fosl2	Golm1	0.34058614585496294	4928.5	2	1
Crem	Dazap2	0.33734406157558233	4920.5	2	1
Foxo1	Emb	0.3364554870660251	4924.5	2	1
Cebpg	Aldh3a2	0.33321036103448365	4927.5	2	1
Ikzf4	Slc38a1	0.3323260994122493	4922	2	1
Arid5a	Emb	0.3277838086687747	4925	2	1
Arid2	Dazap2	0.3230988418875128	3673	1	1
Hif3a	Ddr1	0.3221156643355225	4921	2	1
Fosl1	Gsn	0.3213967623077654	4920.5	2	1
Klf3	Tfg	0.31686571720903356	4919	2	1
Arid5a	Gsn	0.31662119452186094	4919.5	2	1
Elk3	Riok3	0.3085642522458128	4916.5	2	1
Klf7	Dazap2	0.3060704708445323	4885.5	2	1
Ets1	Dhrs1	0.3050125835405994	4915.5	2	1
Junb	Slc38a1	0.3019393697239096	4912.5	2	1
Tcf3	Sh2d3c	0.2951013858735394	3675	1	1
Klf4	Papss1	0.29329861226111087	3671.5	1	1
Arid2	Spry1	0.2908419440520546	4909.5	2	1
Ets1	Dazap2	0.2879363712697328	4892.5	2	1
Clock	Anapc1	0.2863725867081579	4905	2	1
Klf13	Dhrs1	0.28501859432827226	3672.5	1	1
Rbpj	Armcx2	0.2804916299640548	4901	2	1
Batf	Gsn	0.2791948688540196	4902	2	1
Bach1	Anapc1	0.2782904469751588	4901.5	2	1
Bcl11b	Sh2d3c	0.2732264078341997	4901.5	2	1
Foxn2	Armcx2	0.2717916305042644	4901.5	2	1
Hbp1	Spry1	0.27041081862316363	4901	2	1
Mxi1	Gja1	0.2703879342153291	4899	2	1
Cenpb	Riok3	0.27031595908663025	4900.5	2	1
Fosl1	Tfg	0.26744280644718127	4900.5	2	1
Ahr	Dazap2	0.2655544651111336	4899	2	1
Batf	Slc38a1	0.26057268177977544	3669	1	-1
Bcl11b	Anapc1	0.2604682233918671	4895.5	2	1
Runx1	Golm1	0.25744785255537994	4897	2	1
Arid3b	Armcx2	0.25606093174061717	4895	2	1
Fosl1	Ube2v1	0.2560474354208382	4890	2	1
Ets2	Sh2d3c	0.24822184159088917	4893.5	2	1
Hif1a	Tfg	0.24663480810525223	4890.5	2	1
Zbtb7a	Plod3	0.2450664188103932	4884.5	2	1
E2f1	Sh2d3c	0.24296391776064563	4875	2	1
Batf	Dhrs1	0.24114184239345332	3669.5	1	1
Pou6f1	Riok3	0.23881519844142318	4880	2	1
Atf3	Slc38a1	0.23156944581715044	3663.5	1	1
Klf2	Dazap2	0.2314300295739659	4878.5	2	1
Hbp1	Dusp6	0.2291883370726423	4878.5	2	1
Zfp703	Emb	0.22467195376532856	3666.5	1	1
Fosl1	Ddr1	0.22368028411681545	4871.5	2	1
Bcl6	Emb	0.2204148167629847	3665.5	1	1
Bbx	Gja1	0.21794184919005283	4880	2	1
Cdc5l	Riok3	0.21750074935747182	3662.5	1	1
Clock	Spry1	0.21712011956899996	4880	2	1
Rbpj	Slc38a1	0.21623113945654354	3665	1	1
Hif1a	Riok3	0.21583094658780955	4876	2	1
Stat4	Armcx2	0.21515811951331965	4867	2	1
Srf	Gsn	0.21088707330762402	4874	2	1
Cux1	Sh2d3c	0.20711719121454136	4873	2	1
Hmgb3	Golm1	0.20580120489879672	4872	2	1
Atf6	Ddr1	0.20442594363357963	4870	2	1
Irf4	Ddr1	0.20255989167620292	3662.5	1	-1
Bbx	Tfg	0.20186340964532035	4872.5	2	1
Atf2	Slc38a1	0.2016035800742726	3662	1	-1
Bbx	Riok3	0.19815910259164976	4867	2	1
Drap1	Gsn	0.1960067057674877	4863	2	1
Ets2	Dazap2	0.1950676766718908	4866	2	1
Ahctf1	Plod3	0.1933203714085554	4855	2	1
Klf2	Spry1	0.191991593824191	4868.5	2	1
Batf	Emb	0.18782521201162078	4859.5	2	1
Cdc5l	Dusp6	0.18759985073197682	3656	1	1
Nr4a1	Plod3	0.18638473896103763	3659	1	1
Myb	Gja1	0.18521249032153425	4863.5	2	1
Srebf1	Tfg	0.18513008839394612	4847.5	2	1
Cebpg	Golm1	0.1827785604860735	4856	2	1
Lef1	Sh2d3c	0.1820784300407493	4863.5	2	1
Fosl1	Emb	0.1814102013271532	4848	2	0
Ddit3	Golm1	0.1806990480582782	4860.5	2	1
Irf1	Riok3	0.17926557398194987	4862.5	2	1
Atf5	Gsn	0.17809450456118503	4861	2	-1
Stat4	Ddr1	0.17583475653163316	4850.5	2	1
Cggbp1	Dazap2	0.17547574881194122	4851	2	1
Bbx	Psph	0.1712461058451727	4851	2	1
Pknox1	Aldh3a2	0.1702627586503686	4849	2	1
Zfp202	Psph	0.1700489782338757	4857	2	1
Foxp1	Slc38a1	0.16840457812192183	3653.5	1	1
Atf3	Dhrs1	0.16800716472692118	4854.5	2	-1
Satb1	Gsn	0.1659767937618276	4856	2	1
Klf4	Gsn	0.16338837815321328	3652	1	1
Hmgb1	Ddr1	0.1631628291754214	3646	1	1
Atf3	Golm1	0.163084889008209	4854	2	1
Bbx	Papss1	0.16280063815279627	4851.5	2	1
Irf1	Ddr1	0.16145285142375182	3651.5	1	-1
Foxo1	Dhrs1	0.16054198071381987	3644.5	1	1
Foxk2_Foxp1...	Dhrs1	0.15992595759513029	3644	1	1
Stat3	Gja1	0.1583618698363266	4849.5	2	1
Kdm5b	Spry1	0.15762953422537512	4849.5	2	1
Fosb	Gsn	0.15469209933191197	3647	1	1
Klf7	Sh2d3c	0.1539714385040971	3643	1	1
Atf6	Tfg	0.15270790018312663	4845	2	1
Hmga1_Hmga1-rs1	Dusp6	0.15125492101087318	4846	2	1
Jun	Ddr1	0.14921553862712655	3642	1	-1
Klf10_Klf11	Sh2d3c	0.14714133582637695	4843.5	2	1
Nr3c1	Golm1	0.1447456946923329	4843	2	1
Elf1	Dusp6	0.14300145437890177	4841	2	1
Zfp64	Armcx2	0.14162695940033615	3639	1	1
Creb3l2	Slc38a1	0.14120515593234884	4828	2	0
Nfil3	Spry1	0.14061857378079212	4836	2	1
Zfp281	Ddr1	0.13880253490789007	3637.5	1	1
Foxn2	Dazap2	0.1373166718846563	3640	1	1
Klf10_Klf11	Anapc1	0.13683573015790396	4837	2	1
Cenpb	Gsn	0.13376238472774282	3639	1	1
Lyl1_Tal2	Ddr1	0.13358631990415615	4835	2	1
Klf4	Aldh3a2	0.13069464022758043	4832.5	2	1
Hes6	Papss1	0.1285059802553155	3636	1	1
Foxo3	Gja1	0.12759952413128434	3633.5	1	1
Mafg	Ube2v1	0.1273258632546454	3633	1	1
Atf6	Spry1	0.12493654953893374	3631	1	1
Nfe2l2	Tfg	0.12337453474044802	4831.5	2	1
Klf7	Plod3	0.12110169939899312	3630	1	1
Hmga1_Hmga1-rs1	Dazap2	0.12085443513916588	3632.5	1	1
Bbx	Ddr1	0.11984565570748584	4826	2	1
Hsf1	Tfg	0.1184453975384086	4827.5	2	1
Klf7	Dhrs1	0.11757749010007801	4818.5	2	0
Rxrb	Armcx2	0.11528208853538785	4825	2	1
Satb1	Dhrs1	0.11518652430626225	3631.5	1	1
Gata3	Dusp6	0.11414154778215885	4824.5	2	1
Ahr	Golm1	0.11393940804682806	4823.5	2	-1
Nfil3	Tfg	0.11216942392164436	3627.5	1	1
Foxo1	Armcx2	0.11214075550088215	3627	1	1
Atf2	Dhrs1	0.11040684096000125	3629.5	1	1
Phf20	Spry1	0.10935658617908162	4820.5	2	1
Egr2	Papss1	0.10929040440529869	3628.5	1	1
Ets1	Aldh3a2	0.10912791477628847	3625.5	1	1
Foxo1	Dazap2	0.1091047862490323	4821.5	2	1
Rest	Aldh3a2	0.10747006405474924	3628	1	1
Fli1	Ddr1	0.10744514881195122	3625	1	1
Hif1a	Dhrs1	0.10522098026620841	4819.5	2	1
Bbx	Dazap2	0.10402520959781236	4819.5	2	1
E2f1	Plod3	0.1010925495332361	4816	2	1
Batf	Aldh3a2	0.0987725246054218	4817.5	2	1
Atf5	Anapc1	0.09847281801664115	4815	2	1
Hif1a	Gja1	0.09815795115297599	4814.5	2	1
Arid3a	Tfg	0.09806845206420245	3624.5	1	1
E2f1	Ube2v1	0.0979907601778689	3620.5	1	1
Ahctf1	Ube2v1	0.09769339983828307	4814	2	1
Klf7	Gsn	0.09763719676222793	3620	1	1
Cebpg	Dazap2	0.09651865998186698	3619.5	1	-1
Bcl11b	Golm1	0.09635308717973395	4815	2	1
Atf2	Dusp6	0.0959962565600313	3619	1	1
Arid2	Armcx2	0.09432689177415715	4814.5	2	1
Sp100	Armcx2	0.09289193484356528	3623	1	1
Myc	Dazap2	0.09188083504935524	3616.5	1	-1
Litaf	Psph	0.09119555845767852	3621.5	1	1
Ahr	Gja1	0.08595305252534546	3613	1	1
Zfp296	Tfg	0.08266704185356621	4806.5	2	1
Cebpb	Dusp6	0.08231699343319177	3617	1	1
Atf2	Tfg	0.08106929235327887	3615	1	-1
Dbp	Golm1	0.07965038940702518	3613.5	1	1
Irf7	Psph	0.07961883693247124	3610.5	1	1
Sp4	Aldh3a2	0.0792378440153868	3613	1	-1
