TF	Gene	Variance_Explained	Rank	Count	Sign
Batf	Riok3	0.9439193490280275	4979.5	2	1
Hbp1	Spry1	0.9341502083244053	4978	2	1
Creb3l2	Slc38a1	0.912737700533964	4976	2	1
Cebpb	Riok3	0.8915676579823855	4973.5	2	-1
Klf7	Psph	0.8803371420173376	4973	2	1
Cux1	Sh2d3c	0.8780485701639519	4973	2	1
Jun	Ddr1	0.8760974328493945	4969.5	2	1
Batf	Emb	0.837325969105778	4965	2	1
Foxo1	Emb	0.8251920892015485	4962.5	2	1
Hif1a	Tfg	0.7965617746082465	4959	2	1
Batf	Gja1	0.7963094734772629	4957	2	1
Egr2	Sh2d3c	0.7631444433886553	4955.5	2	1
Atf5	Plod3	0.7542007691542958	4950.5	2	1
Usf2	Dazap2	0.7501886515437095	4949	2	1
Irf9	Slc38a1	0.7490948565771252	4951.5	2	1
Fosl1	Ube2v1	0.7155393735846781	4945.5	2	1
Atf5	Golm1	0.7091308580345139	4944	2	1
Bhlhe40	Dhrs1	0.7068259616923465	4943	2	-1
Atf5	Riok3	0.6808155048880292	4935.5	2	1
Ahr	Golm1	0.6782801305215497	4939	2	-1
Zfp426	Armcx2	0.6520618204163482	4933.5	2	1
Foxn2	Emb	0.6483500509325884	4934	2	1
Zbtb7a	Sh2d3c	0.6464805184298075	4931.5	2	1
Batf	Spry1	0.6434527115870238	4932	2	-1
Bbx	Riok3	0.6420303490791349	4931	2	1
Batf	Papss1	0.6321148440875296	4934.5	2	1
Fosl1	Ddr1	0.6301443701439476	4932.5	2	1
Runx2	Papss1	0.6298254916422226	4929	2	1
Nfil3	Spry1	0.61067704809156	4926.5	2	1
Hif1a	Riok3	0.5976363837340197	4928	2	1
Hmga1_Hmga1-rs1	Dusp6	0.5902047684045549	4926.5	2	0
Cebpb	Anapc1	0.5878241997441478	4923	2	1
Cebpg	Dazap2	0.5842925926453342	4920.5	2	1
Klf7	Papss1	0.5834760432530535	4924	2	1
Atf3	Ddr1	0.574958079437514	4920	2	1
Foxo1	Dazap2	0.5605732539975015	4921.5	2	1
Bbx	Papss1	0.5588546150893016	4915	2	1
Fosl1	Gsn	0.5572722882008305	4915	2	1
