TF	Gene	Variance_Explained	Rank	Count	Sign
Klf4	Dhrs1	0.7480374695061378	4979	2	1
Cic	Plod3	0.7377911782188652	4979	2	1
Batf	Spry1	0.7250489223616126	4979	2	-1
Batf	Riok3	0.5684938874923753	4971	2	1
E2f1	Plod3	0.5538587972641443	4972.5	2	1
Patz1	Dusp6	0.5268982812600511	4972	2	1
Atf6	Ddr1	0.5247906891886488	4971.5	2	1
E2f1	Anapc1	0.48903471158644546	4967.5	2	1
Foxo3	Gsn	0.48871991186747227	4966.5	2	1
Batf	Emb	0.482734564488912	4952.5	2	1
Klf2	Spry1	0.47084082236397656	4959	2	1
Batf	Papss1	0.4654049376565783	4958	2	1
Bcl11b	Sh2d3c	0.4582915230623843	4961	2	1
Clock	Anapc1	0.4501474665871814	4961	2	1
Klf10_Klf11	Anapc1	0.4423860342143752	4960	2	1
Arid2	Tfg	0.43907154236320767	4957.5	2	1
Pou2f2	Spry1	0.43591292744543125	4956.5	2	1
Hmgb1	Ddr1	0.43536009602710785	4958.5	2	1
Mxi1	Dusp6	0.4345855424704046	4947	2	1
Stat5b	Ddr1	0.4203599391798871	4949.5	2	1
Creb3l2	Gja1	0.41865556211117766	4949.5	2	1
Elk3	Aldh3a2	0.4122142818044843	4946.5	2	1
Klf7	Psph	0.4103769846416428	4949.5	2	1
Klf10_Klf11	Plod3	0.3987258140968424	4948.5	2	1
Cux1	Papss1	0.38509508488318694	4943	2	1
Ahctf1	Plod3	0.3845151425306573	4938.5	2	1
Atf5	Plod3	0.37516246842153533	4938.5	2	1
Fosl1	Gja1	0.3741540351477064	4937	2	1
Ahr	Dazap2	0.37326490296429815	4937.5	2	1
Arid5a	Psph	0.3688275511428914	4938	2	1
Arid2	Psph	0.3678008167662148	4931	2	1
Zfp280c	Anapc1	0.36116403992987184	4929	2	1
Arid2	Anapc1	0.3511247194071368	4929.5	2	1
E2f1	Sh2d3c	0.3459000093891974	4931	2	1
Fli1	Ddr1	0.34416305013028514	4923.5	2	1
Stat5b	Dusp6	0.33541599647196024	4924.5	2	1
Nr4a2	Dhrs1	0.33190298266412144	4922.5	2	1
Hes6	Papss1	0.33187166892163006	4924.5	2	1
Creb1	Anapc1	0.3285856824456891	4910.5	2	-1
Klf13	Gsn	0.327850063991108	4924	2	1
Klf13	Sh2d3c	0.32695606267390737	4921.5	2	1
Dr1	Ube2v1	0.32492468566152394	4921.5	2	1
Atf3	Dhrs1	0.3238644769442931	4921	2	-1
Klf4	Aldh3a2	0.3231328329572858	4918.5	2	1
Ahr	Riok3	0.3193304472320683	4920	2	1
Myb	Gja1	0.3183560876484036	4918	2	1
Arid2	Spry1	0.31317129697917007	4910.5	2	1
Nr4a1	Plod3	0.31306752602598764	4918.5	2	1
Cux1	Dusp6	0.31205709676793425	4916.5	2	1
Elk3	Riok3	0.3055737080950133	4912.5	2	1
Zbed4	Golm1	0.30508012707586823	4914.5	2	1
Fli1	Emb	0.2997175717528471	4903.5	2	1
Crem	Dazap2	0.29712627731722274	4894	2	1
Foxo1	Dazap2	0.29566756665433197	4873.5	2	1
Cux1	Sh2d3c	0.2868975576000471	4908.5	2	1
Bcl11b	Anapc1	0.286525813021826	4908	2	1
Ets1	Dhrs1	0.27798625825919127	4903	2	1
Irf2	Anapc1	0.2774678609749363	4901	2	-1
Atf2	Emb	0.2760129883731234	3673.25	1	1
Zhx1	Dazap2	0.2725351174011491	4865	2	1
Atf3	Plod3	0.2682101761938825	4901.5	2	-1
Batf	Aldh3a2	0.26807746675915983	4887.5	2	1
Klf2	Dazap2	0.2675385566257214	4901	2	1
Lyl1_Tal2	Ddr1	0.2642705573738786	4891.5	2	1
Mga	Ddr1	0.26316148381566634	3671.5	1	1
Atf2	Papss1	0.2631203611945886	4900.5	2	1
Foxo3	Aldh3a2	0.26076817896875615	4897.5	2	1
Bbx	Ddr1	0.25958945610919854	4899	2	1
Bbx	Tfg	0.258328761265267	4888.5	2	1
Clock	Spry1	0.2580482704641214	4895	2	1
Fosl1	Emb	0.2578621483996264	3670.5	1	1
Batf	Dhrs1	0.2560704693720228	4897	2	1
Bbx	Psph	0.24832763722895335	4894	2	1
Maff	Gja1	0.24748216591701855	3669.75	1	1
Relb	Dusp6	0.2462832673032624	4892	2	-1
Hes6	Ube2v1	0.24517910015378713	4889	2	1
Tef	Psph	0.24171394859312834	3668.75	1	1
Stat5b	Golm1	0.24126471151503232	3669.5	1	-1
Elf1	Dusp6	0.2322555956198406	4871	2	1
Batf	Gja1	0.23118410278388196	3666	1	1
Gata3	Dusp6	0.229191189029879	4882	2	1
Hif1a	Dhrs1	0.2277609468430431	4881	2	1
Cebpb	Psph	0.22680891051364305	4861	2	1
Bbx	Gja1	0.2247184718999401	4882	2	1
Klf2	Slc38a1	0.2229642948405895	4869	2	1
Nr1d2	Golm1	0.22055006542718314	3662.5	1	1
Atf2	Aldh3a2	0.21925165281405906	4875	2	1
Ikzf4	Slc38a1	0.21763812638243413	4877.5	2	1
Arid3b	Emb	0.21190038447009618	3660.5	1	1
Fosl1	Tfg	0.2114687828937698	4880	2	1
Zkscan1	Dusp6	0.21135294295711482	4878	2	1
Hif3a	Gsn	0.20497637128492746	4860.5	2	1
Fosl1	Plod3	0.20494931136827926	4870.5	2	1
Atf5	Gja1	0.20410894558775766	3659.5	1	-1
Runx2	Papss1	0.20249666680015233	4873	2	-1
Hbp1	Spry1	0.20235520440024823	4875.5	2	1
Crem	Gsn	0.2000126802057519	4871.5	2	1
Foxn2	Armcx2	0.19987981302065294	4874	2	1
Klf4	Dazap2	0.19856923525119624	3661.75	1	1
Zfp277	Psph	0.1942612336373793	3659.75	1	1
Fos	Psph	0.19407607635324892	3659.25	1	-1
Zfp688	Dhrs1	0.19370621954930695	4865	2	1
Klf2	Ube2v1	0.19361429896662968	4863	2	1
Egr2	Papss1	0.1931779916794769	3658.25	1	1
Runx1	Dazap2	0.19096592273739066	3655.75	1	1
Bbx	Riok3	0.1906107675883743	4865.5	2	1
Atf3	Dazap2	0.19013193739615974	3657	1	1
Ets1	Dazap2	0.18903225080300062	4846.5	2	1
Mef2d	Slc38a1	0.18871126425227197	3656	1	1
Atf5	Dusp6	0.1839930870218573	3653.75	1	-1
Rel	Psph	0.18054329805892433	3652.25	1	1
Hif3a	Dhrs1	0.17882537284839123	4862.5	2	1
Smad4	Golm1	0.1748144399855302	4858.5	2	1
Sp110	Tfg	0.1710361344610613	3649.75	1	1
Nfe2l2	Ube2v1	0.166857786760517	4854.5	2	1
Crem	Emb	0.16589109736252727	3647	1	1
Lyl1_Tal2	Gsn	0.1644591216402292	4851.5	2	1
Tcf3	Papss1	0.16431485549671876	3646.5	1	1
Bhlhe40	Sh2d3c	0.16355256166695564	3648.25	1	1
Hmgb3	Golm1	0.1634178114854502	4855.5	2	1
Zfp202	Papss1	0.1627540880081037	4850	2	1
Fosb	Dazap2	0.1626902199247811	4850	2	1
Hif1a	Papss1	0.16261611330715353	4842.5	2	1
Fosl1	Ube2v1	0.16192750545966078	4850	2	1
Lyl1_Tal2	Dusp6	0.16103240274629615	4855.5	2	1
Zfp51	Aldh3a2	0.15776735324742464	3645	1	1
Ahctf1	Slc38a1	0.1568960711681407	4852.5	2	1
Creb3l2	Slc38a1	0.15578579295648953	4838.5	2	1
E2f1	Ube2v1	0.15538147123549934	4849.5	2	1
Lyl1_Tal2	Ube2v1	0.15523861781817766	4844.5	2	1
Stat4	Armcx2	0.15495656287153314	4846.5	2	1
Bhlhe40	Aldh3a2	0.153489888823375	3644	1	1
Cic	Gja1	0.1519955905604442	3644.25	1	1
Rbpj	Armcx2	0.15134936329563725	4847.5	2	1
Nfkb1	Dusp6	0.14914173979405287	3642.25	1	-1
Phf20	Spry1	0.14597130342144587	4840	2	1
Cebpb	Armcx2	0.14563389232988405	4841.5	2	1
Litaf	Psph	0.1444974262955122	4837	2	1
Lyl1_Tal2	Spry1	0.14346699915810024	4838	2	1
Pbx2	Dhrs1	0.1413997991027942	4841.5	2	1
Pou6f1	Emb	0.14115485316543286	3639.25	1	1
Nfatc1	Slc38a1	0.14103708994484704	3640	1	-1
Fosl2	Emb	0.13915790597351724	4831	2	-1
Rreb1	Dusp6	0.1383913704727338	4834.5	2	1
Nfe2l2	Tfg	0.1375860943534682	4836	2	1
Ahctf1	Sh2d3c	0.13477793393244264	3636.25	1	1
Foxo1	Emb	0.13439840502005862	3636.5	1	1
Lef1	Sh2d3c	0.13375239119583654	4832.5	2	1
Rela	Sh2d3c	0.13176908073991445	3636	1	-1
Cic	Tfg	0.13140633667114654	3635.25	1	1
Zbtb7a	Sh2d3c	0.13118099495642965	4824.5	2	1
Atf3	Aldh3a2	0.12927709760705508	3634.25	1	1
Relb	Golm1	0.12889617107105678	3633.75	1	-1
Mef2d	Spry1	0.1274941957293116	3634.5	1	1
Fosl1	Ddr1	0.1271196398863073	4837.5	2	0
