TF	Gene	Variance_Explained	Rank	Count	Sign
Myb	Gja1	0.9238502082995893	4979	2	1
Klf4	Dhrs1	0.9073774986263106	4976	2	1
Hbp1	Spry1	0.8983580668933442	4975	2	1
Stat3	Ddr1	0.8982095443106081	4974	2	1
Ahctf1	Plod3	0.8978779463985704	4973.5	2	1
Atf2	Plod3	0.8945112557528364	4972.5	2	-1
Foxo1	Dazap2	0.8890877955415455	4971	2	1
Tal2	Armcx2	0.8821968674167149	4970	2	1
Batf	Spry1	0.8596144135015134	4966.5	2	-1
Rela	Sh2d3c	0.8559335428380965	4969.5	2	1
Batf	Papss1	0.8293907026877094	4960.5	2	1
Klf7	Psph	0.8292666320754638	4961	2	1
Cebpb	Emb	0.8248407718135691	4963	2	1
Atf3	Ddr1	0.8207497954022875	4961.5	2	1
Elk3	Aldh3a2	0.778944078562501	4953.5	2	1
Irf1	Ddr1	0.7741329206827547	4952	2	1
Arid2	Anapc1	0.7594736137381399	4950	2	1
Creb1	Anapc1	0.7502780888828644	4948	2	-1
Myc	Tfg	0.7456214133125867	4948	2	1
Bhlhe40	Dazap2	0.7397916111374647	4947.5	2	1
Lyl1_Tal2	Gja1	0.7340264782164672	4946.5	2	1
Klf2	Dusp6	0.7322598178353577	4945	2	1
Klf13	Gsn	0.7189864531962502	4944	2	1
Fosl1	Dhrs1	0.7107779302215689	4942	2	1
Zeb1	Aldh3a2	0.6950136500153424	4940.5	2	1
Jun	Gja1	0.6764545263051838	4936	2	1
Creb3l2	Slc38a1	0.6536975510413543	4928.5	2	1
Klf2	Spry1	0.6480038604477005	4932	2	1
Relb	Dusp6	0.6473918502127116	4932.5	2	-1
Ets2	Dazap2	0.6470018989227129	4928.5	2	1
Atf6	Riok3	0.6404509062881335	4927.5	2	1
Zfp426	Dusp6	0.6336367144452726	4930	2	1
Irf2	Anapc1	0.6135531080045074	4922	2	1
Hes6	Papss1	0.6121048137372207	4925.5	2	1
Batf	Gsn	0.6111298628007558	4922.5	2	1
Cic	Plod3	0.6074297058494866	4921.5	2	1
Ahr	Golm1	0.5757109979550794	4919.5	2	-1
Nfkb2	Slc38a1	0.5642523639690694	4915.5	2	1
Pbx2	Papss1	0.5565849148286632	4916.5	2	1
Bbx	Riok3	0.553807010743963	4912.5	2	1
Runx1	Armcx2	0.551158398256278	4915.5	2	1
Batf	Riok3	0.5447226623503162	4912.5	2	1
Fli1	Ddr1	0.5443615425334962	4913.5	2	1
Lef1	Anapc1	0.5315958221208901	4908.5	2	-1
Foxo3	Aldh3a2	0.5281769106672187	4907	2	1
Fosl1	Ube2v1	0.5278977216802418	4907	2	1
Atf6	Slc38a1	0.5259788742103471	4909	2	1
Arid3a	Tfg	0.5247393034788255	4906	2	1
Bcl11b	Sh2d3c	0.5192915285154683	4908	2	1
Foxn2	Armcx2	0.5157078146557968	4907.5	2	1
Arid5a	Golm1	0.4947513857114613	4901	2	1
Irf1	Riok3	0.4870165067022509	4904	2	1
Atf5	Anapc1	0.4847728535141467	4899.5	2	-1
Irf7	Anapc1	0.4847185705894062	4903.5	2	1
Nfat5	Slc38a1	0.4822582445072173	4899	2	1
Nfat5	Spry1	0.4743969282054232	4899	2	1
Bcl6	Golm1	0.46638857207119233	4897	2	1
Fosl1	Ddr1	0.4619464085459991	4896.5	2	1
Cebpb	Aldh3a2	0.4562368163893121	4901	2	1
Klf13	Dazap2	0.45591378812945166	3695	1	1
Hif1a	Tfg	0.4552983887443024	3694.5	1	1
Ets2	Dhrs1	0.44617547508538713	4895	2	1
Pou6f1	Sh2d3c	0.44352754289225294	3692.25	1	1
Patz1	Dusp6	0.44196556592937375	4893	2	1
Klf6	Anapc1	0.4407437787879204	3691.25	1	1
Bcl6	Riok3	0.4397282221306585	3690.75	1	1
Zfp202	Ube2v1	0.43724976810132604	3690.25	1	1
Fosl1	Gsn	0.4285687928150535	4891	2	1
Zfp202	Riok3	0.4266056321190732	3689.5	1	1
Arid5a	Papss1	0.42350899036542045	4891	2	1
Atf6	Ddr1	0.41189330768471505	4887	2	1
Lyl1_Tal2	Sh2d3c	0.4078699761363699	3685.25	1	-1
Etv6	Sh2d3c	0.4053550716627006	3683.75	1	1
Ski	Golm1	0.40426468260243037	4888.5	2	1
Zbtb7a	Sh2d3c	0.39353015126452895	4885.5	2	1
Ahctf1	Anapc1	0.39299560855682525	3683.25	1	1
Stat5b	Golm1	0.38396696884250536	3684.5	1	-1
Fosb	Dazap2	0.3838833208967512	3681.75	1	1
Bbx	Ddr1	0.3816799916520118	3684	1	1
Mafg	Golm1	0.3803101095358063	3683.5	1	-1
Batf	Ddr1	0.37675275629311034	4884	2	0
Lyl1_Tal2	Spry1	0.37444589210324564	4881.5	2	1
Ahr	Spry1	0.3735114270627229	3682.5	1	1
Klf13	Sh2d3c	0.3732975222245441	4885	2	0
Clock	Plod3	0.3713810867866115	3682	1	1
Pknox1	Armcx2	0.37134073221424324	3678.25	1	1
Atf2	Emb	0.3657138422777283	3676.25	1	1
Atf5	Riok3	0.3633454804623761	3680.5	1	1
Fli1	Riok3	0.36226256927304423	3675.75	1	1
Nr4a1	Plod3	0.36083224875715353	4879	2	1
Egr1	Gja1	0.3584539044267805	3678.5	1	1
Atf5	Emb	0.35758049297427386	3674.25	1	1
Ets2	Papss1	0.3564223373244823	4880	2	1
Atf5	Gja1	0.35071425603148215	4879.5	2	1
Kdm2b	Ube2v1	0.34904337357741355	3673.75	1	1
Creb3l2	Gsn	0.34707751822976723	3677	1	-1
Atf3	Dhrs1	0.34557994226195393	4877	2	1
Fosl1	Tfg	0.3392009011605905	4876	2	0
Rela	Ube2v1	0.3385262708943235	3672.25	1	1
