TF	Gene	Variance_Explained	Rank	Count	Sign
Nr1d2	Stab1	0.80593853279244	273418.8	20	1
Hif1a	Pgm2	0.7987031188142857	273401.25	20	1
Hif1a	Ero1l	0.7952110258989811	273395.7	20	1
Hif1a	Egln1	0.7939245068908359	273407.7	20	1
Bhlhe40	Bmp2k	0.7939103902020096	273371.7	20	1
E2f1	Exo1	0.7860370049456396	273280.05	20	1
E2f1	Dtl	0.7829722168250338	273388.2	20	1
Stat2	Gbp4	0.7758603752156296	273363.35	20	1
Bhlhe40	Znrf1	0.7716766770710629	273384.2	20	1
E2f1	Anln	0.7698624994657669	273279.75	20	1
Hif1a	Bnip3	0.7666397394439418	273265.35	20	1
Bhlhe40	Traf6	0.7532583749902024	273280.1	20	1
Fosl2	Igf2r	0.7477690051326341	273327	20	1
Arid2	Vdac1	0.7291026126250129	273260.75	20	1
Irf9	Stat2	0.7255531198577616	273252.55	20	1
Bhlhe40	Ikzf4	0.7255392715926142	273212.45	20	1
Hif1a	H2-Ab1	0.7197180244585092	273090.2	20	1
Cic	Emp1	0.7194228796522348	273272.05	20	1
Topors	Cdkn2d	0.7177248179663802	258422.275	18	1
Hif1a	Pfkp	0.717527281460367	273166.7	20	1
Hif1a	Aldoa	0.7141948134356125	273202.45	20	1
Cux1	Celf2	0.7103014453659667	273231.6	20	1
Batf	Chm	0.7017451223929405	273108.55	20	1
Ncoa3	Ifngr2	0.6909685308479545	265800.275	19	1
Klf4	Hexb	0.6878306088856594	272787.4	20	1
Bhlhe40	Tgfbr1	0.6868723596659546	272627.6	20	1
Cux1	Wisp1	0.6864768017830887	273127.15	20	1
Mga	Il12rb2	0.6863910974890278	273153.85	20	1
Cic	Pmepa1	0.6852077565653776	273079.3	20	1
Cic	Ptpn1	0.6803854276174409	272913.8	20	1
Hif1a	Arrb1	0.6803831017392892	273042.5	20	1
Hif1a	Hk1	0.6790190326830173	273027.6	20	1
Hif1a	Slc2a3	0.6786019866051759	273078.85	20	1
Bhlhe40	Rcan3	0.6782918733041979	272499.45	20	1
Egr2	Arrb1	0.6782124127658689	273124.5	20	1
Hif1a	Jmjd6	0.6762475010816666	273059.2	20	1
Hif1a	Helb	0.6758379003336461	273071.3	20	1
Hif1a	Slc2a1	0.675673761432115	272863.05	20	1
Cux1	Pter	0.674636622757492	273091.5	20	1
Cic	Acsbg1	0.6717861151324312	272969.7	20	1
Hif1a	Ppme1	0.6715098016089797	272932.9	20	1
Egr3	Smyd5	0.6713371606156013	272545.25	20	1
Bhlhe40	Acvr1b	0.6671785681771805	272910.8	20	1
Bhlhe40	Rara	0.6666806974879842	272975.95	20	1
Arid5a	Anxa2	0.66172222873815	272966.1	20	1
Bhlhe40	Tnk2	0.6613381311211038	272813.15	20	1
Batf	Bid	0.6607966122201037	272834.2	20	-1
Nr1d2	Adam19	0.6578327395520631	250785.875	17	1
Klf4	Rras	0.6569020010729145	272824.5	20	1
Creb3l2	D1Ertd622e	0.6563617125596911	273041.05	20	1
Fosl2	Nrp1	0.655380223059621	272987.7	20	1
Ddit3	Nrp1	0.6550707480819751	272863.9	20	1
Cic	Nek6	0.6548759258111223	272997.35	20	1
Cic	Nsf	0.6545195377289301	272929.5	20	1
Atf5	Slc4a8	0.6530339205704988	273008.6	20	1
Fli1	BC021614	0.6506266946060066	272669.45	20	1
Elk3	Trappc10	0.6494633983511592	272936.3	20	1
E2f1	Tnk2	0.6460893121640098	272780.85	20	1
Atf5	Cyfip2	0.6455338744639796	272939.55	20	1
Klf4	Mapk3	0.644901247390808	272643.45	20	1
Bbx	Il10	0.6434420735663446	272870.5	20	1
Cic	Frmd4b	0.6399361992154665	272980.8	20	1
Cebpb	Nrp1	0.6391231384175897	272909.55	20	1
Bhlhe40	Mtss1	0.6344843139071366	272755.65	20	1
Fli1	Nudt8	0.6324799030673658	272622.75	20	1
Bhlhe40	Ski	0.6309716934653414	272483.9	20	1
Klf7	Hmgcl	0.6308774773441325	272611	20	1
Bhlhe40	Itpr3	0.6268672923363561	272360.05	20	1
Hif1a	Sap30	0.6261615274252242	272823.6	20	1
E2f1	Rfwd3	0.6250186198098412	265131.975	19	1
Zbtb7b	Rps6ka3	0.6232321790194228	250895.1	17	1
Fli1	Lpxn	0.6228180609789191	272634.35	20	1
Fosl1	Gnb5	0.6215639231536724	265299.175	19	1
Hif1a	P4hb	0.620845817901813	272700.4	20	1
Bhlhe40	Rap1gds1	0.6184668434952383	272708.6	20	1
Mxi1	Tnfrsf21	0.6165130459036388	272688.7	20	1
Gabpa	Heatr1	0.616155460271693	272413.95	20	1
Cic	Fes	0.6124139436344478	272447.45	20	1
Bhlhe40	Bcl11b	0.6107757728466742	272217.05	20	1
Batf	Ahnak	0.6106303836070226	272022.8	20	1
Cic	Smox	0.6103371649342574	265305.1	19	1
Arid2	Txndc17	0.6090083894351597	265214.65	19	1
Cux1	Stat4	0.6082172300462948	272445.1	20	1
Cic	Flt3l	0.6075159368581602	272344.2	20	1
Ikzf4	Abcb1b	0.6073947992033493	272014.3	20	1
Cic	Klf10	0.6072049485820454	272725.25	20	1
Stat3	Chmp4b	0.605114118377968	250716.075	17	1
Etv6	Icam2	0.6040215729878651	272652.45	20	1
Batf	Dctn4	0.6038736253493122	272548.85	20	1
Bhlhe40	Pacs1	0.603100473426145	272338.15	20	1
Bhlhe40	Foxo1	0.6010893025720274	272031.2	20	1
Bhlhe40	Ets1	0.5999371282310622	272372	20	1
Arid5a	Itpr1	0.5972152980503892	272106.25	20	1
Bhlhe40	Sh2b1	0.5962892489157348	272143.3	20	1
Bhlhe40	Mllt6	0.5962762360539562	272048.7	20	1
Cic	Ptprj	0.5952930635538699	272307.2	20	1
Bcl6	Zeb1	0.5937924984671806	272266.7	20	1
E2f1	Anapc1	0.5935139879624446	265263.8	19	1
Bhlhe40	Epb4.1l2	0.5902714033293659	264904.075	19	1
Egr2	Nr4a1	0.5902490521677612	258117.425	18	1
Cic	S1pr1	0.5889128807641606	264680.225	19	1
Cic	1600014C10Rik	0.5886952279083946	272337.9	20	1
Bcl11b	Tmem43	0.5853050127660555	271986.85	20	1
Klf4	Aes	0.5852643813287924	272503.05	20	1
Egr1	Kdelc1	0.5842464555036868	272000.3	20	1
Elk3	Wdr1	0.584140918264034	272420.25	20	1
Crem	Hspa4l	0.583868272273099	265218.225	19	1
Gtf2ird1	Ptprc	0.5830168040897267	272331.75	20	1
Cux1	Wipf1	0.5828855120266576	272430.9	20	1
Cux1	Lrmp	0.5818787196003401	272176.65	20	1
Klf4	Spata6	0.5811659156585238	272029.55	20	1
Cdc5l	Samsn1	0.5800192467280186	272448.3	20	1
Batf	Anxa4	0.5787065268208071	272028.3	20	1
Bcl11b	Sh2d3c	0.5782367418096719	272500.65	20	1
Batf	Sgip1	0.5775832613683485	272192.1	20	1
Hif1a	1190002N15Rik	0.5773714698541841	272340.55	20	1
Klf4	Ostf1	0.5761381370505724	272057.85	20	1
Creb1	Tnfrsf18	0.574645654102409	264998.225	19	1
Cic	Il9	0.5745789436424676	272513.15	20	1
Cux1	Tal2	0.5740893105555844	272392.9	20	1
Creb1	Lgals7	0.5738248599123149	272384.7	20	1
Atf6	Cdk16	0.5733298887268143	272361.85	20	1
Batf	Rabgap1l	0.5712701088446193	271872.6	20	1
Cic	Sema7a	0.5709361995942944	272324.75	20	1
Cic	Ctla2a	0.570187155694268	272116.05	20	1
Egr3	Skap2	0.5698657092145194	250521.65	17	-1
Cic	Cyp1b1	0.5695292192098103	271781.55	20	1
Egr3	Arhgap17	0.5688782986519488	271086.65	20	1
Cic	Tec	0.5676811931714649	271795.45	20	1
E2f1	Cdc25b	0.5643922970121442	257586.7	18	1
Irf8	Ramp3	0.5622521922797141	257769.675	18	1
Bcl11b	Celf2	0.5607806289628743	272388.55	20	1
Atf5	Rap1gds1	0.5591963889670152	272314.25	20	1
Bhlhe40	Klf2	0.5590354247732855	257694.075	18	1
Bhlhe40	Agpat3	0.5584497400386497	271907.95	20	1
Foxn2	Bcl2l11	0.5584429744054396	272149.1	20	1
Batf	Tnfsf8	0.5578579349591493	257434.125	18	-1
Hif3a	Satb1	0.55767077808711	272335.55	20	1
Cux1	Srpk2	0.5574368243560045	272034.5	20	1
Klf4	Lgals1	0.557326100668741	271702.2	20	1
Arid3a	Ccdc50	0.556862988625036	271716.45	20	1
Bcl11b	Gata3	0.5562880459306164	272054.9	20	1
Cux1	Fbxo4	0.5558381639632751	272150.55	20	1
Arid2	Syce2	0.5557238994685102	257801.475	18	1
Ikzf4	Ehd3	0.5556422707460151	272226.15	20	1
Cic	Lpxn	0.555236186042245	271790.15	20	1
Irf4	Fas	0.5547546436574882	271881	20	1
Elf1	Sec14l1	0.5545905682244776	257568.2	17	-1
Irf4	Psme1	0.5544483081589673	264731.75	19	1
E2f1	Rxra	0.5544261842229776	264909.2	19	1
Cebpb	Marcks	0.5511543546861863	271989.5	20	1
Bhlhe40	Osbpl2	0.5511497285362851	272022.6	20	1
Stat1	Cd86	0.5504122150868113	272158.2	20	1
Creb3l2	Bpnt1	0.5501815121916744	272226.45	20	1
Egr3	Atp1a1	0.5490210035712765	271518.4	20	1
Satb1	Kif3a	0.546392215494773	271908.75	20	1
Arid3a	Zfp426	0.5460813305646708	272014.2	20	1
Batf	Pou2f2	0.545970987476172	272028.05	20	-1
Batf	Rcl1	0.5452760460754674	250474.225	17	-1
Bcl11b	Dlst	0.5443689980640826	272122.2	20	1
Batf	Lpp	0.5442534782830255	271323.35	20	1
Batf	Mgst3	0.543535931524527	271861.5	20	1
Arid5a	Kdelc1	0.5423850942148414	271949.5	20	1
Bhlhe40	Slco3a1	0.542014577623245	271829.25	20	1
Bcl6	Rnf181	0.5416481207266777	271456.8	20	1
Fli1	Zfp36	0.5416383957506359	271542.95	20	1
E2f1	Smpd4	0.5405223965139437	264871.375	19	1
Gabpa	Acin1	0.5404011282211466	271237.7	20	1
Ikzf4	Ccbl2	0.5399115770356142	257561.125	18	1
Atf5	Pgm1	0.5393204984755522	271844	20	1
Arid2	Srpk1	0.5393093082745934	271897.85	20	1
Bhlhe40	Stx1a	0.5389823740110506	271966.4	20	1
Cux1	Stk39	0.5388144804919055	271589.75	20	1
Tef	Hspa4l	0.5380139367858523	272017.1	20	1
Stat1	Stat2	0.5371954626485065	264765.25	19	1
Egr3	Gtf2i	0.5363885513815371	271142	20	1
Bhlhe40	Aqp3	0.5362742623100357	271768.7	20	1
Deaf1	Slc14a1	0.5359696565083802	264823.325	19	1
Bcl6	Bcl2	0.53524499524273	271698.45	20	1
Klf4	Dhrs1	0.5337866415144731	271912.5	20	1
Batf	Procr	0.5329769651695142	271797.35	20	1
Batf	Spata6	0.5326562109255562	271785.75	20	1
Cic	Capg	0.5324314271016737	271007.5	20	1
Fli1	1110007C09Rik	0.5323692917517782	271844.15	20	1
Elf1	Ifi203	0.5315458407349066	271830.95	20	1
Foxn2	Tmem71	0.5308777723363998	272054.85	20	1
Bhlhe40	Traf3	0.5294794571345509	264727.15	19	1
Cdc5l	Taf7	0.5290950276590817	271683.8	20	1
Cic	Ctla2b	0.5289924942236327	272004.85	20	1
Etv6	Glipr1	0.5286117235200998	271724.95	20	1
Atf5	Tspan6	0.5286107547287344	272121.6	20	1
E2f1	Ifit2	0.5284132636375654	271730.35	20	1
Hif1a	Egln3	0.527127743270358	271830	20	1
Arid2	Rfwd3	0.5270732758459888	271861.3	20	1
Irf9	Parp9	0.5265865489570027	250460.3	17	1
Ikzf4	Eea1	0.526328547797249	256466.7	18	1
Egr1	Nudt8	0.5262853968909503	271585.2	20	1
Hif1a	Piga	0.5259643146522258	272081.35	20	1
Bhlhe40	Ldlrap1	0.5255960433612511	271373	20	1
Ikzf4	Adora2a	0.5244568653556755	271690	20	1
Creb1	Tsc22d3	0.5242905026724536	271922.95	20	1
Cic	Igfbp4	0.524168759769458	264459.2	19	1
Batf	Ndrg2	0.5238866527199371	264590.425	19	1
Elf1	Rbmx	0.523307782848052	271669.55	20	1
Fosl1	Rap1gds1	0.522302373248107	264139.85	19	1
Etv6	Naca	0.5219739257501603	271780.05	20	1
Klf4	Cdkn1b	0.5214805539723244	271909.5	20	1
Ddit3	Prkca	0.519805793972768	271809.35	20	1
Arid2	Dazap2	0.5191005057992937	271691.3	20	1
Irf8	Serpinb9	0.5189568230466179	250357.375	17	1
Egr3	Cnnm3	0.5186132120518796	228365.025	14	1
Irf9	Ifit3	0.5183435748303677	250073.45	17	1
Bhlhe40	Slc9a3r1	0.5182430517629997	264556.475	19	1
Bhlhe40	Tbc1d14	0.5177683300296976	271444.45	20	1
Foxo1	Ccng2	0.5172796696613455	250204.35	17	1
Bhlhe40	Sgk1	0.5170917978173182	271732.65	20	1
Cux1	Dhcr7	0.517090328637725	271649.75	20	1
Foxn2	Rasgrp1	0.5170058894615833	257340.075	18	1
Klf7	Ascc1	0.5169729363893047	271159.05	20	1
Arid2	Anxa2	0.515573167663917	271846.85	20	1
Ahctf1	Cnn2	0.514890978918124	271948.75	20	1
Elf1	Notch1	0.5143364141271012	242846.1	15	-1
Bhlhe40	Tle1	0.5134844456379061	271841.35	20	1
Elk3	Itpr1	0.5132932160525113	271728.25	20	1
Cux1	Cyr61	0.5131031193080714	264465.15	19	1
Irf8	Ifih1	0.5123041252997136	271497.7	20	1
Arid2	Uqcrq	0.5121559687519639	271499.15	20	1
Batf	Eci2	0.5112654788509335	250098.675	17	1
Stat1	Parp9	0.5111247901148913	257263.525	18	1
Arid2	Cdkn2d	0.5108970828610789	264620.95	19	1
Arid2	Higd1a	0.510671808251012	271262.65	20	1
Cdc5l	Lpin2	0.5094818454617707	271654.6	20	1
Satb1	Gfi1	0.5092692434308069	271621.25	20	1
Bcl6	Smox	0.5090590607736154	271582.2	20	1
Batf	Dynll2	0.5085253710749769	271741.3	20	-1
Batf	Gem	0.5082724197776541	270848.8	20	1
Ikzf4	Opn3	0.5068664054969381	271657.95	20	1
Runx2	Aig1	0.5061553886720651	271387.1	20	1
Plagl1	Rara	0.5058050834068298	242762.85	16	1
Cic	Furin	0.5051215335297508	271421.15	20	1
Dbp	Nedd9	0.5050916858883607	271133.95	20	1
Nr1d2	Tnk2	0.5050718258606219	235575.9	15	1
Cic	Bcl3	0.5049955009583695	271746.6	20	1
Bcl6	Ankzf1	0.5045181981613168	271587.3	20	1
Rreb1	Ikbke	0.5041416328816408	257377.175	18	1
Pou6f1	Ccl20	0.5040757672888634	264634.65	19	1
Stat3	Tnip2	0.5040365195617166	220841.225	13	1
Maff	Gja1	0.5037102355652207	250081.9	17	1
Ahr	Txndc17	0.5034824411466009	271284	20	1
Foxn2	Sh3kbp1	0.5034595745279831	271215.15	20	1
Arid3b	Hist1h1c	0.502341174761081	271508.3	20	1
Cic	Il2rb	0.5023018618966343	271143.05	20	1
Rel	Tspan3	0.5022136019391111	271466.95	20	1
Ets2	Sh2d3c	0.502059728350708	257560.625	18	1
Sox4	Smarca2	0.5012675208405091	257231.275	18	1
Klf4	Ndrg2	0.5010981204220097	271520.3	20	1
Atf5	Gpsm2	0.5010025838217045	271715	20	1
Lef1	Eea1	0.5009447071024954	257346.675	18	1
Batf	Spry1	0.5008702694946225	242666.525	16	-1
Klf4	Rcan3	0.49978172818341904	264108.55	18	1
Runx1	Atp6v1d	0.499445429856722	271632.1	20	1
Erf	Nfkb1	0.4989626520180187	257303.625	18	1
Cic	Cpd	0.49870410953008787	263642.65	19	1
Gabpa	Ppp1r10	0.4981414193126924	264027.75	19	1
Cic	Me2	0.4977921653207389	271408.85	20	1
Cux1	Gyk	0.49653157225050054	271536.85	20	1
Fosl1	Anxa2	0.49552851949217	271509.15	20	1
Fli1	Crip1	0.49542770006607484	271068.8	20	1
Arid5a	Hvcn1	0.494486539628591	271250.7	20	1
Arid5a	Stat4	0.4943401081385799	264417.725	19	1
Nr3c1	Smg5	0.494074704637473	263915.55	19	1
Srf	Ctla2a	0.49356240710651605	271727.85	20	1
Ankzf1	Rgs11	0.49223993430246643	264412.575	19	1
Atf6	Ptprf	0.4914063298790167	264390.25	19	1
Ahr	Krtcap2	0.491354520487147	271294.2	20	1
Hif1a	Pgam1	0.49130068518469405	271623.85	20	1
Atf5	Adarb1	0.49107499234705243	271347.6	20	1
Cdc5l	Sell	0.490810891453562	264279.6	19	1
Cux1	Tnfrsf13c	0.4903911846512973	271002.2	20	1
Foxn2	Ppp3ca	0.49005824299723244	257203	18	1
Cic	Aqp3	0.48957942418285005	270977.5	20	1
Bhlhe40	Map4k4	0.48951253726731814	264115.125	19	1
Bcl11b	Rcsd1	0.4893756855155097	271314.35	20	1
Batf	Edem1	0.4891587497359019	271054.15	20	1
Cdc5l	Afp	0.4888845955230052	271274.1	20	1
Bcl11b	Adam10	0.488554018036678	271444.7	20	1
Hif1a	Sertad1	0.4885187098844764	271623.25	20	1
Cux1	Cmtm7	0.48826407563345564	271451.65	20	1
Cebpg	Dst	0.4881797743947077	271496.65	20	1
Egr3	Nfatc1	0.48812578620436203	249180.025	17	1
Batf	Nfkb1	0.4876829658851679	263666.5	19	-1
E2f1	Wee1	0.4869608390990165	271305.6	20	1
Egr1	Dctpp1	0.4869531628030505	242798.975	16	1
Arid2	Crip1	0.48621934820890866	271447.9	20	1
Arid5a	S100a6	0.48571960269837094	264304.55	19	1
Fli1	Rnh1	0.48505438752367	242618.175	16	1
Gabpa	Smyd5	0.48435126678843743	242663.35	16	1
Stat1	Tbx21	0.4840483178518136	264277.2	19	1
Dbp	Rcl1	0.4840420698102065	271404.1	20	1
Etv6	Rpp14	0.48333066607357156	249696.175	17	1
Zbtb7a	Cyfip2	0.48306426123405155	271268.8	20	1
Foxn2	Ptprc	0.4830283731444097	271489.15	20	1
Bcl11b	Rpa2	0.4828495879876109	271533.15	20	1
Foxn2	Gtf2i	0.4826955061685836	271483.05	20	1
Hif1a	Sav1	0.4826569653229358	271419.25	20	1
Klf4	Clic1	0.48244263453771447	270866.65	20	1
Cux1	Vrk2	0.4822876850127553	271432.95	20	1
Bcl6	Ubtd1	0.48208822519062855	271379.45	20	1
Ahr	Srgn	0.4817324057931356	271433.2	20	1
Eea1	Slc29a3	0.48166419512692366	242874.6	16	1
Bcl11b	Klf3	0.48134510905609895	270844.05	20	1
Ddit3	Slc9a8	0.4812591757925103	235422.025	15	1
Runx2	Gzmb	0.48088501416771934	249781.8	17	1
Bbx	Cyfip2	0.4803270316216236	271520.05	20	1
Nr4a3	Pdcd1	0.4801483770927293	271121.45	20	1
Bcl6	Timd2	0.47926135976165146	271343.85	20	1
Cic	Tle1	0.4788399544967842	256690.375	18	1
Hif1a	Ddit4	0.4788016887409487	271585.25	20	1
Egr3	Egr3	0.4786677999459936	228236.8	14	1
Klf4	Pafah1b3	0.4785821038044576	242370.4	16	1
Irf8	Npc2	0.47858176412495246	242753.2	16	1
Hif1a	Pdxp	0.4785665869681897	271384.1	20	1
Bcl11b	Marcks	0.47842092349947657	271335.65	20	1
Hif3a	Ptpn2	0.47821869758481117	271536.6	20	1
Bcl11b	Trib1	0.47808760086093083	271361.4	20	1
Cux1	Cd74	0.47776908744520785	271189.95	20	1
Cic	Ski	0.4768050459505905	257348.275	18	1
Batf	Bmpr1a	0.4766847247364122	271154.25	20	1
Hif1a	Ier3	0.4763649582306546	271579.8	20	1
Bcl11b	Prkca	0.4763146300170732	271533	20	1
Elf1	Dnmt3a	0.47565149787200484	242769.925	16	1
Atf6	Inpp5a	0.4753531907289811	271528.6	20	1
Creb3l2	Hmgn1	0.475097731826826	271400	20	1
Batf	Wwp1	0.47509151105246233	271015.7	20	1
Elf1	Ppp3ca	0.4750221001234368	263898.5	19	1
Egr2	Arhgap17	0.4745056812195897	257256.025	18	1
Egr3	Ncdn	0.47439248316024474	242710.075	16	1
Fli1	Emb	0.4743607696123533	271054.95	20	1
