TF	Gene	Variance_Explained	Rank	Count	Sign
Cic	Emp1	0.9811381527075517	287766.9	20	1
Cic	Anxa3	0.9741494861520128	287724.2	20	1
Cic	Il17a	0.9626443008779988	287552.75	20	1
Egr1	Kdelc1	0.9598711816164714	287435.85	20	1
Cic	Alpk2	0.9554247949770243	287427.25	20	1
Batf	Pstpip1	0.9521943946727551	287412.5	20	1
Cic	Ptprj	0.9515611864814792	287496.2	20	1
Hif1a	Bnip3	0.9510911859468466	287439.9	20	1
Batf	Sec24d	0.9500587959027544	287404.35	20	1
Cic	Il9	0.9485794606950938	287367.05	20	1
Batf	Ccng2	0.9480011810013202	287476.45	20	1
Jun	Rora	0.9433605210287546	287418.45	20	1
Hif1a	Ero1l	0.9433335982072972	287354.45	20	1
Batf	Pkp3	0.9398887621000412	287289.4	20	1
Srebf1	Kif3a	0.939356329763205	287404.55	20	1
Batf	Pou2f2	0.9357206316110425	287312.25	20	-1
Batf	Fez2	0.9338096339213606	287280.75	20	1
Cic	Cd5l	0.9336090433750572	287188.35	20	1
Cic	Trp53i13	0.9326839440978466	287273.85	20	1
E2f1	Exo1	0.9324155664227973	287200.65	20	1
Arid3a	Ccdc50	0.9323162840432799	287195	20	1
Smad4	Ninj1	0.9294528252338029	287201	20	1
Bach1	Ppp3ca	0.9197204929115566	287117.05	20	1
Batf	Stx7	0.9187748900380758	287182.45	20	1
Arid3a	Igfbp7	0.9187250925835558	287086.9	20	1
Ahctf1	Tyms-ps	0.9184466794333132	287122.75	20	1
Cic	Aqp3	0.917367117712762	287068.7	20	1
Arid3a	Tex15	0.917001991329467	287048.55	20	1
Mxi1	Galk1	0.914924018794601	287021.7	20	1
Batf	Cmas	0.9147718438599769	287036.4	20	1
Batf	Crem	0.9127836566028054	286940.65	20	1
Cic	Tgm2	0.912284492419249	280109.9	19	1
Jun	Rab20	0.907066461756634	286988.05	20	1
Batf	Vim	0.9046241342694181	286906.3	20	1
Bcl6	Slc39a8	0.9033566874289998	286979.7	20	1
Elk4	Gart	0.9029641299290306	286878.35	20	1
Cic	Timp1	0.9004547315620831	286761.1	20	1
