TF, Gene	Bulk	MicroArray
("Irf4", "0610007P14Rik")	true	true
("Batf", "0610012G03Rik")	true	false
("Hif1a", "0610012G03Rik")	true	true
("Batf", "1190002N15Rik")	true	true
("Irf4", "1190002N15Rik")	true	true
("Hif1a", "1190002N15Rik")	true	true
("Batf", "1600014C10Rik")	true	true
("Etv6", "1600014C10Rik")	false	false
("Batf", "Abcb9")	false	false
("Irf4", "Abcd3")	true	true
("Batf", "Abcg1")	true	true
("Fosl2", "Abcg1")	false	false
("Fosl2", "Acot13")	false	false
("Batf", "Acp5")	false	true
("Fosl2", "Acp5")	false	false
("Hif1a", "Acp5")	true	true
("Fosl2", "Acsbg1")	true	false
("Batf", "Acsl4")	true	false
("Irf4", "Acsl4")	true	true
("Fosl2", "Acsl4")	false	false
("Batf", "Acsl5")	true	true
("Irf4", "Acsl6")	false	false
("Stat3", "Acsl6")	false	false
("Rorc", "Acsl6")	false	false
("Fosl2", "Acsl6")	false	false
("Batf", "Adam19")	true	true
("Stat3", "Adam19")	true	true
("Rorc", "Adam19")	false	false
("Irf4", "Adarb1")	false	false
("Stat3", "Adarb1")	true	true
("Fosl2", "Adarb1")	false	false
("Fosl2", "Adora2a")	false	false
("Batf", "Aen")	true	true
("Fosl2", "Aen")	false	false
("Batf", "Ahnak")	true	true
("Irf4", "Ahnak")	false	false
("Stat3", "Ahnak")	false	false
("Fosl2", "Ahnak")	false	false
("Hif1a", "Ahnak")	true	false
("Batf", "Ahr")	false	false
("Irf4", "Ahr")	false	false
("Irf4", "Aig1")	false	false
("Stat3", "Aig1")	false	false
("Batf", "Aim1")	true	true
("Irf4", "Aim1")	false	false
("Stat3", "Aim1")	false	false
("Fosl2", "Aim1")	false	false
("Irf4", "Alcam")	false	false
("Fosl2", "Alcam")	true	true
("Stat3", "Aldoa")	false	false
("Hif1a", "Aldoa")	true	true
("Irf4", "Alpk2")	false	false
("Stat3", "Alpk2")	false	false
("Rorc", "Alpk2")	false	false
("Hif1a", "Alpk2")	false	false
("Etv6", "Alpk2")	false	false
("Irf4", "Angptl4")	false	false
("Hif1a", "Ankzf1")	true	false
("Batf", "Antxr2")	false	false
("Irf4", "Antxr2")	true	true
("Fosl2", "Antxr2")	true	true
("Batf", "Anxa11")	true	true
("Irf4", "Anxa11")	false	false
("Batf", "Anxa2")	true	true
("Irf4", "Anxa2")	false	false
("Rorc", "Anxa2")	false	false
("Hif1a", "Anxa2")	true	true
("Irf4", "Anxa4")	false	false
("Rorc", "Anxa4")	false	false
("Irf4", "Aqp3")	false	false
("Fosl2", "Aqp3")	false	false
("Irf4", "Arhgap12")	false	false
