TF	Gene	Variance_Explained	Rank	Count	Sign
E2f1	Rpa2	0.9593296926488077	287792.4	10	1
Egr1	Kdelc1	0.9574518086675452	287788.3	10	1
Batf	Arid5a	0.9567522457607852	287698.7	10	1
Bach1	Fyn	0.9562765341605178	287787.1	10	1
Elk4	Lrrc59	0.9526170624869261	287771	10	1
E2f1	Exo1	0.9502737087589948	287711	10	1
Arid2	Idi1	0.9493149488103952	287755.8	10	1
Batf	Sec24d	0.943571933175957	287738	10	1
Batf	Pou2f2	0.9383753731384022	287675	10	-1
Hif1a	Bnip3	0.9366522654286162	287731.5	10	1
Cic	Il17a	0.9353194622943297	287706.1	10	1
Bach1	Gripap1	0.9318536633267183	287656.8	10	1
Cic	Ptprj	0.9264848020983985	287532.2	10	1
E2f1	Smpd4	0.9228326247608509	287507.9	10	1
Cic	Tgm2	0.922257360863419	287572.6	10	1
Klf4	Anxa4	0.9214348431849919	287630.8	10	1
Bach1	Nr4a1	0.9210912050476805	287594.7	10	1
Cic	Anxa3	0.9185921334687984	287589.1	10	1
Foxo1	Ccng2	0.91842508063221	287554.9	10	1
Cic	Il9	0.9182200114623924	287554.1	10	1
Batf	Bid	0.9169570644418794	287545.5	10	-1
Cic	Tspan6	0.9158314683973897	287597.7	10	1
Irf2	Ifih1	0.9134653316273426	287513.1	10	1
Arid2	Dhcr24	0.9121757478284888	287563.5	10	1
Cic	Emp1	0.9121668410915114	287515.1	10	1
Hmga1_Hmga1-rs1	Basp1	0.9119272760781036	287476	10	1
Klf4	Anxa2	0.9109245874444047	287562.5	10	1
Stat3	Bcl3	0.9095556441649046	287526	10	1
Arid3a	Ccdc50	0.9084572863797163	287489.5	10	1
Batf	Mbp	0.9084359225162262	287466.1	10	-1
Batf	Stx7	0.9060392106843054	287418.4	10	1
Batf	Spry1	0.9042564239299203	287496.4	10	-1
Bach1	Qrich1	0.9030403174299287	287363.3	10	1
Bach1	Slc9a8	0.899328494917387	287358.6	10	1
E2f1	Rfwd3	0.8953915716415015	287397.9	10	1
Foxo3	Ets1	0.8943681838291282	287382.5	10	1
Batf	Dnmt3a	0.8928978770123077	287420.9	10	-1
Egr2	Rcan3	0.8903861047766644	287312.8	10	1
E2f1	Wee1	0.8893461078161631	287375.6	10	1
Irf2	Ifi203	0.8885499011572803	287269.4	10	1
Arid3a	Naa20	0.8876931608673917	287352.5	10	1
Bach1	4632428N05Rik	0.8876639074948987	287152.1	10	1
Irf4	Cd1d1	0.8827363042813706	287290.3	10	1
Irf9	Parp9	0.8825174020783523	287308.1	10	1
Ahctf1	Rtp4	0.8816060362680161	287268.6	10	-1
Batf	Adck1	0.8793827379042577	287167.4	10	-1
Gabpa	Gpatch4	0.8789229951000006	287192.6	10	1
Batf	Aim1	0.8765469693572896	287220.6	10	1
Ahctf1	Higd1a	0.8759669327561435	287219	10	1
Bach1	Atp1a1	0.8738952283106226	287235.1	10	1
Bach1	Fbxo11	0.872227171219946	287162.2	10	1
Egr1	Tmed3	0.8706388694780628	287109.8	10	1
Cebpb	Narf	0.8686488130213192	287124.1	10	1
Batf	Cnnm3	0.8675991015207088	287165.2	10	-1
Hif1a	Ero1l	0.8672854137817649	287121.1	10	1
Batf	Vim	0.8671306763607408	287267.1	10	1
Batf	Pkp3	0.8668407525343742	287167.6	10	1
Creb1	Slc3a2	0.8656186460962145	287127.9	10	1
Mga	Ier3	0.8651332171928269	287157.3	10	1
Nfkb2	Tnf	0.8645611816347213	287080.6	10	1
Stat3	Chmp4b	0.8640783149531112	287059.3	10	1
Batf	Pstpip1	0.863786990847097	287076.6	10	1
Mafg	Prickle1	0.8629733626914714	287140.5	10	1
Stat3	Etv6	0.8629070196414391	287194.8	10	1
Cic	Alpk2	0.8628269204572477	287023.3	10	1
Egr2	Cxcr4	0.8626573178671982	287060.6	10	1
E2f1	Dtl	0.8617701030395766	287091.7	10	1
Arid3a	Acsl6	0.8613873894979797	287015.3	10	1
Fosl2	Ss18	0.8592455777096791	287118.7	10	1
Batf	B4galt1	0.8570877360133331	287065.3	10	1
Bach1	Cd9	0.8468963656194133	286977.1	10	1
Ahctf1	Ccdc50	0.8459222381376248	286976.6	10	1
Bhlhe40	St3gal1	0.8458496377333544	287032.2	10	-1
Arid5a	Maoa	0.8440801314409885	287022.3	10	1
Arid3a	Gnptab	0.8413555279564102	286911.1	10	1
Bcl6	Timd2	0.840275835806094	286843.5	10	1
Irf2	Il15ra	0.8398127128793822	286891.2	10	1
Mafg	Lrmp	0.8371394155931304	286964.3	10	1
Cic	Il24	0.8355334788260496	286843.4	10	1
Arid2	Stk39	0.8352474580577536	286855.6	10	1
Pknox1	Parp6	0.833213729271909	286795.6	10	1
Bach1	Fyco1	0.8331708393287585	286885.6	10	1
E2f1	Erc1	0.8317144855046411	272770.35	9	1
Arid3a	Perp	0.831522693554087	286795.1	10	1
Batf	Extl3	0.8302222430235714	286793.8	10	-1
Arid3a	Cox17	0.8295748565125983	286762.4	10	1
Hif1a	Tspan6	0.8286130310623847	286833.6	10	1
Arid5a	Pde7a	0.8285220504797802	286749.5	10	1
Cic	Rnh1	0.8281414472801838	286885	10	1
Cebpb	Mpdu1	0.8251798582438145	286805.1	10	1
Gfi1	Cpox	0.8249639018370708	286788.5	10	1
Klf4	Xpnpep1	0.8248713577890998	286777	10	1
Stat1	Stat2	0.8241363254177175	286803.5	10	1
Cebpb	Tmem43	0.8235614962956872	286818.6	10	1
Batf	Sms	0.8225317470998872	286704.4	10	-1
Batf	Pgm1	0.8221507919251785	286741.6	10	1
Batf	Cyth1	0.8206980594477423	286679.4	10	1
Arid3a	Gusb	0.8200139786672379	286759.7	10	1
Foxn2	Tnni1	0.8195326900280848	286794.4	10	1
Cdc5l	Rpa2	0.81868694175423	286793.7	10	1
Hif1a	Higd1a	0.8176132990924909	286685.4	10	1
Creb3l2	Hmgn1	0.8175739563932162	286763.7	10	1
Arid3a	Ripk3	0.8167739176078053	286616	10	-1
E2f1	Tyms	0.8159401029746366	286710	10	1
Smad4	Ninj1	0.8156954269746892	286710	10	1
Batf	Spata6	0.8129882614815864	286656.2	10	1
Irf4	Dzip1	0.8121602082713613	286639.8	10	1
Ahctf1	Tfpi	0.8108987605644605	286549.3	10	1
Irf1	Gbp2	0.8092872098694768	286652.6	10	1
Cic	Ctla2a	0.8078479854179262	286458.3	10	1
Batf	Fosl2	0.8072262435394142	286656.5	10	1
Batf	Capn2	0.8071067967633075	286659.3	10	1
Bach1	Papolg	0.8067794035750246	272566.05	9	1
Batf	Fez2	0.8053059934936199	286570.8	10	1
Arid2	Rfwd3	0.805168298591177	286610.6	10	1
Foxn2	Vav3	0.8051138576110265	286571.6	10	1
Mafg	Lsp1	0.8044774597850312	286632.4	10	1
Rela	Wipf1	0.8041797725035895	286599.4	10	1
Klf4	Asns	0.8037927162961094	286578.1	10	1
Stat3	Rnf149	0.8036026780947536	286529.9	10	1
Hif1a	Egln1	0.8018584142371499	286621.2	10	1
Klf4	Sars	0.8017430076548424	286400.1	10	1
Nr1d2	Ninj1	0.7998228620313054	286561.2	10	1
Ahctf1	Nme4	0.798316412244516	286596.8	10	1
Ahr	Kifc3	0.7979123790703503	286570.5	10	1
Foxn2	Ctss	0.7971148123024826	286560.3	10	1
Arid3a	Pim1	0.7968506023028847	272622.55	9	-1
Klf4	Ndrg2	0.7965220551518286	286432.5	10	1
Nfkb1	Ninj1	0.7964769762767652	286585.9	10	1
Rreb1	Trim12a	0.7963858078366067	272660.5	9	1
Nfkb1	Pmepa1	0.7955478129098427	286393.3	10	1
Batf	Smyd5	0.7946258803841693	272521.3	9	-1
Atf3	Ralb	0.7944364748871207	286523.4	10	1
Foxo3	Tbxa2r	0.7940660548908033	286480	10	1
Klf4	Pck2	0.793452842317056	286510.2	10	1
Arid3a	Abcb1b	0.7930852138609795	272409.25	9	1
Cic	Ctla2b	0.7911810827481138	286427.1	10	1
Foxo3	Tbc1d14	0.7911419641804197	272636.7	9	1
Batf	Gla	0.791122675605577	286405	10	1
Stat3	Gpr65	0.7908080624715571	286430.7	10	1
Cebpb	Rtn4	0.7883676757830681	286460.3	10	1
Mafg	Vav3	0.7880930752182753	286440	10	1
