TF	Gene	Variance_Explained	Rank	Count	Sign
Hif1a	Ero1l	0.8498562455237777	282029.5	50	1
Bhlhe40	Znrf1	0.8473017363984191	281997.22	50	1
Hif1a	Bnip3	0.8224102605837728	281950.52	50	1
Nr1d2	Stab1	0.7978581327328432	281869.12	50	1
Batf	Chm	0.7971680476839925	281743.22	50	1
Bhlhe40	Ikzf4	0.7964053621436268	281886.72	50	1
Hif1a	Pgm2	0.7926260117644857	281853.96	50	1
Bhlhe40	Bmp2k	0.7826741996412183	281692.34	50	1
E2f1	Anln	0.7804715627921881	281643.06	50	1
Bhlhe40	Itpr3	0.7731280094315639	281701.1	50	1
E2f1	Dtl	0.7560518412152978	281676.44	50	1
Hif1a	Ppme1	0.7531600374119374	281718.92	50	1
Arid2	Vdac1	0.7509315907118744	281624.14	50	1
Cic	Emp1	0.7482007813312314	281807.26	50	1
Bhlhe40	Trappc10	0.7467397303596316	281455.6	50	1
Ddit3	Prkca	0.7462105412330224	278780.97	49	1
E2f1	Exo1	0.7444521556827672	281471.16	50	1
Bhlhe40	Foxo1	0.7413577271277987	281450.44	50	1
Bhlhe40	Ets1	0.738588517593541	281396.6	50	1
Hif1a	Egln1	0.7304206453214412	281541.2	50	1
Topors	Cdkn2d	0.7273553548866967	267005	45	1
Hif1a	H2-Ab1	0.7235960020469137	281579.1	50	1
Bhlhe40	Tex2	0.7230758419540204	281485.18	50	1
Nr1d2	Il1r1	0.7223798620674938	278620.18	49	1
Ddit3	Ifi203	0.706656808297042	278625.09	49	1
Cic	Il2rb	0.7035920474442738	281431.82	50	1
Bhlhe40	Slc9a3r1	0.7000860185534098	278244.59	49	1
Bhlhe40	Traf6	0.698643961386321	280935.88	50	1
Bhlhe40	Ski	0.6979814870115253	281308.3	50	1
Bhlhe40	Sh2b1	0.6966353771241	281100.32	50	1
Bhlhe40	Impdh1	0.6934008579035611	281392.1	50	1
Bhlhe40	C2cd2l	0.6894482308789209	281123.62	50	1
Batf	Arhgap12	0.6892190168295861	281252.44	50	1
Klf3	Timd2	0.6852593203467652	281291.84	50	1
Bhlhe40	Agpat3	0.6846032216800779	275392.07	48	1
Bcl11b	Trat1	0.6840037555184924	281453	50	1
Fosl2	Extl3	0.6836640228798997	281297.54	50	1
Bhlhe40	Rcan3	0.6804854132048571	280582.92	50	1
Egr3	Smyd5	0.6758076971314456	260929.89	43	1
Bhlhe40	Slco3a1	0.6747895679053546	280857.56	50	1
Bhlhe40	Me2	0.671626959820688	281309.26	50	1
Hif1a	Slc2a1	0.6707344521700898	281036.44	50	1
Hif1a	Sap30	0.6682211781761775	278380.32	49	1
Hif1a	Slc2a3	0.6679907327517235	281218.88	50	1
Bhlhe40	Tnk2	0.662857192346683	269396.84	46	1
Cebpb	Marcks	0.6610820062464345	281052.66	50	1
Cic	Klf10	0.6588325319713972	281141.48	50	1
Ddit3	Nrp1	0.6567714274810521	272397.9	47	1
Arid2	Syce2	0.6543994282855463	278132.69	49	1
Etv6	Icam2	0.6523652577831324	272390.68	47	1
Hif1a	Hk1	0.651792095340786	280787.78	50	1
Bhlhe40	Mapk7	0.6505596606283928	272293.71	47	1
Bhlhe40	Stat5b	0.6497216632676664	280799.3	50	1
Hif1a	Arrb1	0.6471493966525972	281187.5	50	1
Hif1a	Jmjd6	0.643674381455222	280980.78	50	1
Irf4	Chchd7	0.6436730399619636	272031.19	47	1
Egr2	Arrb1	0.6355353765734797	281083.48	50	1
Bhlhe40	Smg5	0.6351753747202817	274914.94	48	1
Irf4	Cox17	0.6332517597124485	260409.23	43	1
Cic	Il9	0.6331675757496783	281054.28	50	1
Bhlhe40	Sgk1	0.6321606321732919	278050.89	49	1
Bhlhe40	Aqp3	0.631018565087708	280838	50	1
Bbx	Tiparp	0.630545405608552	280879.8	50	1
Bhlhe40	Itgb7	0.6300692169609797	277753.77	49	1
Klf4	Anxa2	0.6299767512815002	280641.12	50	1
Klf4	Spata6	0.6288202518043466	269131.88	46	1
Foxk2_Foxp1...	Acp5	0.6277005590389468	269382.27	46	1
Bhlhe40	Tle1	0.6268570298477699	280498.9	50	1
Hif1a	Pfkp	0.6257659134166861	280626.66	50	1
Erf	Zfp36l1	0.6257232023493178	269003.1	46	1
Elf1	Sepw1	0.623235696427982	263499.04	44	1
Egr1	Dctpp1	0.623195415287049	274682.93	48	1
