TF, Gene	Bulk	MicroArray
("Batf", "Ddr1")	true	true
("Irf4", "Ddr1")	true	true
("Stat3", "Ddr1")	true	true
("Fosl2", "Ddr1")	false	true
("Irf4", "Dhrs1")	false	false
("Batf", "Dusp6")	false	false
("Irf4", "Dusp6")	false	false
("Stat3", "Dusp6")	false	false
("Rorc", "Dusp6")	false	false
("Etv6", "Dusp6")	true	true
("Batf", "Emb")	true	true
("Stat3", "Emb")	false	false
("Batf", "Gsn")	true	true
("Irf4", "Gsn")	false	false
("Hif1a", "Plod3")	true	true
("Irf4", "Psph")	false	false
("Irf4", "Riok3")	false	false
("Batf", "Sh2d3c")	false	false
("Irf4", "Sh2d3c")	false	false
("Stat3", "Sh2d3c")	false	false
("Batf", "Spry1")	true	true
("Stat3", "Spry1")	false	false
("Rorc", "Spry1")	false	false
("Hif1a", "Ube2v1")	false	false
