TF	Gene	Variance_Explained	Rank	Count	Sign
Klf4	Dhrs1	0.5053299837729687	3968	10	1
Patz1	Dusp6	0.49379829136722336	3953.4	10	1
Bcl11b	Sh2d3c	0.4724755193343575	3961.5	10	1
Cic	Plod3	0.44210169166166435	3948.3	10	1
Pou2f2	Spry1	0.43477739376081104	3935.3	10	1
Elk3	Aldh3a2	0.40588840874312737	3942.4	10	1
Irf4	Plod3	0.4012811498029472	3439.85	7	-1
E2f1	Anapc1	0.40019565187880285	3937.1	10	1
Cux1	Sh2d3c	0.3968458605302458	3942.5	10	1
Pou6f1	Emb	0.3948799947088107	3934	10	1
Klf4	Papss1	0.3934385141622327	3926.9	10	1
Klf3	Gsn	0.37630382405172697	3689.15	9	1
Batf	Spry1	0.37507873377946027	3665.9	9	-1
Foxp1	Slc38a1	0.3716469067883194	3687.05	9	1
Arid2	Dazap2	0.369521603842267	3677.75	8	1
Atf5	Plod3	0.3593397395868922	3923.1	10	1
E2f1	Slc38a1	0.35607564789710916	3911.7	10	1
Batf	Riok3	0.35292737920178097	3914.4	10	1
Bbx	Gja1	0.3422963365335172	3917.9	10	1
Hbp1	Spry1	0.323454835732185	3908	10	1
Rest	Aldh3a2	0.3175748745141932	3413.75	6	1
Stat4	Armcx2	0.31444193458362535	3907.2	10	1
Zfp386	Dazap2	0.304536020900505	3412.8	8	1
Irf1	Emb	0.3031686582274631	3882.3	10	1
Mxi1	Dusp6	0.3030540538755218	3663.55	9	1
Arid2	Psph	0.3007064660215457	3652.8	9	1
E2f1	Sh2d3c	0.300538830651121	3403.2	8	1
Nfkb2	Dazap2	0.2992731392872054	3415.4	7	-1
E2f1	Golm1	0.2897561705125905	3640.35	8	1
Erf	Riok3	0.2830682838357664	3159.25	6	1
Bbx	Riok3	0.28251115572184266	3885.9	10	1
Elk3	Riok3	0.28125178152745295	3649.2	9	1
Cux1	Dusp6	0.27791201491522444	3648.35	9	1
Irf2	Armcx2	0.27394737418363524	3649.05	9	1
Arid5a	Gsn	0.2729898529499856	3396.05	8	1
Sp3	Psph	0.2725027625620241	2909.6	5	-1
Ahctf1	Sh2d3c	0.2723964452040647	3885.3	10	1
Foxo3	Riok3	0.2690299993270394	3160.9	6	1
Tal2	Gja1	0.26772395236037616	3647.25	9	1
E2f1	Plod3	0.2653186456814701	3154.35	6	1
Zfp281	Ddr1	0.2636516321810543	3877.7	10	1
Hmgb1	Ddr1	0.2625638034196248	3879.5	10	1
Arid3b	Armcx2	0.2625626747334899	3879.1	10	1
Smad4	Golm1	0.2624572101068909	3887.5	10	1
Klf13	Psph	0.26146540992463013	3162.7	6	1
Mxd4	Golm1	0.2600897853242936	3644.65	9	1
Fosb	Tfg	0.258528518649998	3403.8	7	1
Phf20	Spry1	0.2526264051139532	3875.3	10	1
Hes6	Papss1	0.25206318634453295	3869.8	9	1
Lyl1_Tal2	Ddr1	0.24885144937835335	3640.25	9	1
Elf1	Anapc1	0.24759083294397008	2901.65	5	-1
Nr4a1	Plod3	0.24456771118264214	3637.15	9	1
Zfp35	Golm1	0.2416047801733688	3629.65	9	1
Arid3a	Dusp6	0.23986535832458822	3865.5	10	1
Nfkb2	Plod3	0.23908328787199387	3856.6	10	1
Klf4	Psph	0.2383281981642292	3136.6	6	1
Mga	Ddr1	0.23815600039092324	3389.3	7	1
Cebpg	Aldh3a2	0.23811197556663108	3388.6	8	1
Nfe2l2	Slc38a1	0.23790884782391722	3870.3	10	1
Lyl1_Tal2	Spry1	0.23786267119639576	3633.25	9	1
Tulp3	Tfg	0.23762158708186973	3146.7	7	1
Fli1	Riok3	0.2319624354201805	3145.1	6	1
Klf4	Aldh3a2	0.23107186322299564	3825.4	10	1
Cenpb	Riok3	0.23027868656668563	3841.7	10	1
Plscr1	Psph	0.22723863638182235	2898.8	5	1
Nr1h2_Nr1h3	Slc38a1	0.22577696382722207	2891.15	5	1
Bhlhe40	Golm1	0.22352461378824157	2894.8	4	1
Deaf1	Slc38a1	0.22214836452152356	3147.25	6	1
Satb1	Gsn	0.22146044898225745	3858.9	10	1
Batf	Tfg	0.2193848919545442	3599.6	9	1
Cux1	Papss1	0.21884993391455665	3617.15	8	1
Ikzf4	Anapc1	0.21556887257299467	3369.05	8	1
Hes6	Armcx2	0.21395400032947265	3615.85	7	1
Arid3b	Papss1	0.21274977702630657	3614.75	8	1
Ets2	Dazap2	0.21240302238284978	3833.7	10	1
Bbx	Psph	0.2115791957895452	3847.2	10	1
Hif1a	Papss1	0.20923025483516047	3610.75	9	1
Ets1	Dhrs1	0.20806113090947392	3846	10	1
Plscr1	Spry1	0.2078786042273671	3138.3	6	1
Hmga1_Hmga1-rs1	Dusp6	0.2075063181175648	3610.95	9	1
Klf2	Dazap2	0.20569695061210763	3607.05	9	1
Zfp202	Ddr1	0.2050835751525751	3610.8	9	1
Bcl11b	Anapc1	0.20489166130373784	3835.5	10	1
Arid3b	Emb	0.20466808161229136	3601.95	8	1
Cebpb	Riok3	0.20439465848138258	2894.25	5	-1
Lyl1_Tal2	Dusp6	0.20423603350951075	3604.05	9	1
Fosb	Gsn	0.2014327678442629	3844.5	10	1
Klf13	Golm1	0.20107478750859512	3133.9	6	-1
Zbed4	Golm1	0.19961403067324093	3122.95	7	1
Ahr	Dazap2	0.19942706875131194	3843.6	10	1
Hsf1	Tfg	0.1985214198911734	3831.2	10	1
Creb3l2	Slc38a1	0.19804956482202557	3600.65	9	1
Stat4	Ddr1	0.19623213768620013	3605.1	9	1
Cdc5l	Dusp6	0.1960736983409894	2890.5	4	1
Egr2	Sh2d3c	0.1937497738217368	3601.85	9	1
Nfe2l2	Tfg	0.19328293727241658	3370.3	8	1
Batf	Papss1	0.19184578101038802	3599.15	9	1
Mtf2	Dusp6	0.18892264682734564	2884.75	5	1
Elk3	Sh2d3c	0.18725264869482333	3370.3	8	1
Maff	Gja1	0.18685338754305936	3596.8	9	1
Fosl1	Gsn	0.18678272613016805	3120.5	6	1
Eea1	Armcx2	0.18627830038814666	2881.4	6	1
Fosl1	Ddr1	0.18289974838367384	3352.5	8	1
Batf	Dhrs1	0.18170833717379606	3586.9	9	1
Egr3	Plod3	0.1803855417800833	2638.05	5	1
Stat5b	Ddr1	0.1795343075940374	3828.2	10	1
Foxo3	Aldh3a2	0.17926132170099088	3366.75	7	1
Elf1	Riok3	0.1766464237773488	2637.45	3	-1
Fli1	Sh2d3c	0.17448000760285276	3101.7	6	1
Clock	Anapc1	0.1741526871304347	3831.8	10	1
Sp110	Tfg	0.17409215452704085	3119.9	7	1
Satb1_Satb2	Riok3	0.17387417518620288	2880.4	4	1
Drap1	Dazap2	0.1733968644201907	2887	5	1
Tcf3	Sh2d3c	0.17327992167904024	3106.95	7	1
Zfp53	Dusp6	0.1721926751565773	2877.05	5	1
Klf13	Papss1	0.1712932815631723	3353.95	8	1
Cenpb	Emb	0.17094860047770494	2880.15	4	1
Elf1	Dusp6	0.17043458182629148	3799.9	10	1
Fli1	Emb	0.16975694038307876	3348.75	8	1
Irf7	Anapc1	0.16865069077444161	3584.9	9	1
Egr1	Golm1	0.16853580241477473	2863.9	5	1
Klf7	Psph	0.1683044787977539	3819.3	10	1
Zfp322a	Ube2v1	0.16822293587975343	3357.8	8	1
Irf4	Armcx2	0.16770778810133652	2879.8	6	1
Atf6	Ddr1	0.16694814745769576	3812.6	10	1
Plagl1	Riok3	0.16663518020657192	2873.15	5	-1
Phf1	Aldh3a2	0.16641446672780383	3590.45	9	1
Bcl6	Tfg	0.16549496115168902	3348.1	8	1
Hif1a	Dhrs1	0.16466456423766618	3587.45	9	1
Hif3a	Ddr1	0.16369352714200178	3815.5	10	1
Stat3	Ddr1	0.16307773062632455	3100.15	7	1
Elk4	Dusp6	0.16231088860674991	2874.7	6	1
Arid5a	Psph	0.161310549395345	3808.5	10	1
Foxo3	Gja1	0.16011048478232906	2628.8	5	1
Scml4	Dusp6	0.15838777998616926	2872.85	4	1
Nfil3	Tfg	0.1577553231030734	3117.25	6	1
Hes6	Dazap2	0.15755486278744893	2625.4	4	1
Tef	Psph	0.15706088913374064	3589.85	9	1
Egr2	Papss1	0.15702733004873135	3583.75	8	1
Hif1a	Tfg	0.15605504089366523	3819.2	10	1
Cic	Golm1	0.15583762273452492	3112.55	6	1
Nfic	Emb	0.15533731732888928	3115.15	5	1
Lyl1_Tal2	Gsn	0.15458161069874424	3805.1	10	1
Klf10_Klf11	Anapc1	0.15194702351397185	3114.6	7	1
Nr1h2_Nr1h3	Ddr1	0.15092595653266447	2376.45	2	1
Nr4a3	Plod3	0.15039846884658092	3108.8	6	1
Bcl6	Gja1	0.149703038887084	3808.8	10	1
Arid2	Tfg	0.1483459142315368	3557.55	9	1
Zfp281	Sh2d3c	0.1468929492315778	2871.25	5	1
Bbx	Emb	0.1465527387527425	2867.9	6	1
Nr1h2_Nr1h3	Spry1	0.14599060802443523	2850.15	6	1
Zbtb1	Armcx2	0.1429593260748135	3109	7	1
Gtf2ird1	Spry1	0.14204124328532491	2625.55	4	1
E4f1	Spry1	0.14123401094203958	3334.9	8	1
Atf6	Dazap2	0.1404962693693433	2618.5	3	1
