TF	Gene	Variance_Explained	Rank	Count	Sign
Ahctf1	Plod3	0.9253027491308463	4967	10	1
Batf	Papss1	0.8562135188159633	4947.7	10	1
Irf7	Anapc1	0.8156249409768334	4705.45	9	1
Klf4	Dhrs1	0.7948782073636442	4923.7	10	1
Bcl6	Riok3	0.7715509763354677	4916.1	10	1
Lyl1_Tal2	Gja1	0.7439534325053604	4910.4	10	1
Nfat5	Spry1	0.7251345056818661	4901.1	10	1
Hbp1	Spry1	0.7180961554881556	4908.4	10	1
Batf	Riok3	0.7093192671501511	4910.7	10	1
Gata3	Armcx2	0.6934421032605702	4891	10	1
Foxn2	Armcx2	0.6873192258125636	4893.9	10	1
Nfat5	Slc38a1	0.6779673584039857	4893.2	10	1
Klf7	Psph	0.6633796058982285	4887.4	10	1
Zfp281	Dazap2	0.6621302490805048	4421.65	8	1
Klf2	Spry1	0.648683241379509	4651.95	9	1
Hmga1_Hmga1-rs1	Dusp6	0.6394496293966221	4654.3	9	-1
Creb3l2	Slc38a1	0.6381835095700416	4415.9	8	1
Cebpb	Anapc1	0.6353167424163977	4412.8	8	1
Fosl1	Ube2v1	0.6332125359047447	4644	9	1
Ets2	Dazap2	0.6310329342425189	4878.3	10	1
Elk3	Aldh3a2	0.6276213850286789	4646.6	9	1
Batf	Spry1	0.626522581818402	4643.05	9	-1
Arid3a	Tfg	0.6037673728807509	4403.6	8	1
Stat3	Ddr1	0.6022181230145971	4173.45	7	1
Fosb	Gsn	0.5969569530468554	4408.65	8	1
Usf2	Dazap2	0.5828024638343983	4167.1	7	1
Ddit3	Sh2d3c	0.5790799063432475	4867.8	10	1
Atf5	Plod3	0.5730879340655214	4859.3	10	1
Batf	Emb	0.5511152188039554	4392.95	8	1
Kdm2b	Spry1	0.5446798662553839	3922.15	6	1
Sox4	Sh2d3c	0.5399265686539008	3917.1	6	1
Hif1a	Psph	0.5218594087239651	4620.15	9	1
Atf3	Golm1	0.5162792184315379	4861.6	10	1
Nfat5	Ube2v1	0.5083393186728673	4146.8	7	1
Stat4	Ddr1	0.5071501744267652	4380.05	8	1
Zeb1	Golm1	0.4996239557174533	4383.05	8	1
Kdm2b	Ube2v1	0.4982906918445151	4146.1	7	1
Foxo1	Dazap2	0.49722365999884055	4148.6	7	1
Stat5b	Ddr1	0.49564263925508145	3906	6	-1
Atf6	Riok3	0.48146395547017695	4368.65	8	1
Myb	Gja1	0.48036063891054	4142.4	7	1
Myb	Dhrs1	0.4781203477531072	4134.4	7	1
Fosl1	Ddr1	0.47176875469326146	4840.6	10	1
Cebpg	Emb	0.46215460858712465	3902.15	6	1
Tcf3	Sh2d3c	0.46090343171881204	4381.05	8	1
Batf	Gsn	0.45335353242316884	4363.15	8	1
Foxo3	Aldh3a2	0.45154834457625004	3889.8	6	1
Myc	Spry1	0.44632118108842234	3661.05	5	1
Ets2	Sh2d3c	0.44565606105754973	4834.7	10	1
Satb1	Gsn	0.44262438813607563	4362.05	8	1
Pbx2	Dhrs1	0.4410590170707077	4592.45	9	1
Zfp281	Ddr1	0.44036892598027205	4593.25	9	1
Nfat5	Dusp6	0.43893164597727585	4835.4	10	1
Ets2	Papss1	0.4342237194253606	3894.4	6	1
Creb3l2	Dusp6	0.43195437373454554	3889.8	6	1
Fosl1	Dhrs1	0.43093235269677327	4833.4	10	1
Hes6	Papss1	0.42762999093271264	4590.5	9	1
Hif1a	Tfg	0.42707113867103164	4607.1	9	1
Foxo3	Spry1	0.4253070170971287	3658.95	5	-1
Klf13	Papss1	0.42460746641966357	3888.4	6	1
Irf9	Ube2v1	0.42408254325913297	4121.35	7	1
Atf6	Slc38a1	0.41882462639837337	3890.45	6	1
Tulp3	Tfg	0.4175389307081554	4123.95	7	1
Zfp322a	Ube2v1	0.4148432306310408	3881.05	6	-1
Satb1_Satb2	Anapc1	0.41433962087576387	3884.3	6	1
Runx1	Gja1	0.41425191463760297	4124.1	7	1
Relb	Spry1	0.3933676009654997	4115.7	7	1
Cic	Plod3	0.3932813941803387	4121.25	7	1
E4f1	Slc38a1	0.38955430343547953	3878.45	6	1
Pou6f1	Emb	0.38530715631076934	4114.85	7	-1
Bcl6	Papss1	0.38236927244749286	4104.7	7	1
Atf3	Dazap2	0.38167624372063946	4582.35	9	1
Zfp202	Ddr1	0.37977881577669337	3871.7	6	1
Tal2	Armcx2	0.37395708680875295	3879.35	6	1
Atf3	Dhrs1	0.37326888107857387	4111.7	7	1
Zbtb22	Ube2v1	0.3718718362043355	3875.6	6	1
Ets1	Gja1	0.36952140632322117	3638.45	5	1
Atf5	Gja1	0.36687867429818033	3405.8	4	1
Smad4	Golm1	0.3638695278919274	4344.8	8	1
Gata3	Gja1	0.36086847528833016	4341.35	8	1
Fli1	Dazap2	0.36045923036710575	4099.4	7	1
Sp3	Aldh3a2	0.35946395009471005	3871.15	6	1
Fos	Psph	0.35814879470569794	3406.2	4	1
Egr2	Sh2d3c	0.35643682328308257	3401.85	4	1
Plagl1	Riok3	0.35053096960969066	3631.35	5	1
Klf3	Dhrs1	0.3457266313644204	3629.45	5	1
Fli1	Dusp6	0.3455235172157063	3397.65	4	1
Nfat5	Ddr1	0.34541763361936867	3870.15	6	-1
Myc	Tfg	0.34300910349318897	3862.55	6	1
Fosl1	Gsn	0.3426934431948526	3866.8	6	1
Zfp35	Golm1	0.342391606493356	3867.5	6	1
Stat2	Gja1	0.3412582015322671	3400.25	4	-1
Cebpb	Riok3	0.3411957941662736	3628.95	5	-1
Fli1	Ddr1	0.33703891853139406	3868.25	6	1
Cux1	Psph	0.3261981355654261	4099.2	7	1
Nfe2l2	Tfg	0.3247307101073161	4096.7	7	1
Zeb1	Emb	0.32323468359281743	3867.45	6	1
Fli1	Riok3	0.32306572805782735	3864.8	6	1
Foxn2	Emb	0.31404063412620753	3393.05	4	1
Klf7	Papss1	0.312204539203882	3389.45	4	1
Zfp202	Spry1	0.3104866902982778	3387.1	4	1
Zfp202	Ube2v1	0.30985005615808847	3393.6	4	1
Sp100	Golm1	0.30774389636239424	3390.3	4	1
Gata3	Aldh3a2	0.307207517231917	3622.85	5	-1
Ahr	Aldh3a2	0.30498470852495824	3391.05	4	-1
Zbed4	Anapc1	0.3045368003166515	3387.65	4	1
Bcl6	Aldh3a2	0.3041028930789136	3856.7	6	1
Arid3a	Dusp6	0.3027615494565457	4097.05	7	1
Klf13	Golm1	0.3026888062037524	3861.55	6	-1
Zbtb1	Dusp6	0.3013919515152935	3624.65	5	1
Batf	Gja1	0.3008709998900264	3619.55	5	1
Egr1	Psph	0.30009283194671343	3855.5	6	-1
Creb1	Gsn	0.2973443332854361	3623.1	5	1
Mbd6	Golm1	0.2961474210440282	3383.6	4	1
Rxrb	Ube2v1	0.29554336593768094	3388.6	4	1
Zkscan1	Sh2d3c	0.295363428229299	3618.95	5	1
Atf3	Ddr1	0.29355927303663637	3620	5	1
Ets2	Aldh3a2	0.292209611500825	3615.65	5	1
Nr4a3	Plod3	0.2916661435092578	3850.05	6	1
Pbx2	Papss1	0.29074056277142957	3615.7	5	1
Sp4	Golm1	0.287088555105866	3382.5	4	-1
Maff	Gja1	0.2851539584091059	3851.5	6	1
Bhlhe40	Dazap2	0.2827982237886387	3382.8	4	1
Ddit3	Papss1	0.28012433168784523	3377.2	4	1
Klf4	Aldh3a2	0.280051873405712	3381.2	4	1
Hif1a	Riok3	0.27994633277771686	3616.15	5	1
Stat1	Emb	0.27679997596939515	3149.15	3	1
Hbp1	Slc38a1	0.276282960051952	3380.3	4	1
Nfkb2	Dazap2	0.2762474565127979	4085.35	7	-1
Klf10	Slc38a1	0.2758621622377099	3378.25	4	1
Atf5	Emb	0.2754053684715642	3380.65	4	1
Nr1h2_Nr1h3	Spry1	0.2747716319541935	3382.95	4	1
Nfe2l2	Sh2d3c	0.274509644990811	3850.6	6	1
Fli1	Golm1	0.27364720770286327	3148.6	3	-1
Lyl1_Tal2	Dhrs1	0.2724473173550777	4085.9	7	1
Lef1	Anapc1	0.2707815014949178	3856.4	6	0
Elf1	Slc38a1	0.27067329921555244	4086.4	7	1
Gata3	Dusp6	0.2701637297164171	3846.05	6	1
Jun	Gja1	0.26583093043286626	3611.7	5	1
Nfatc1	Slc38a1	0.2640968448044586	3373.8	4	1
Fosl2	Ddr1	0.2608274655826614	3376.85	4	1
Arid5a	Psph	0.2577600708916688	3140.7	3	1
Hbp1	Dusp6	0.25075172057404005	3603.55	5	1
Hif3a	Gja1	0.25067375562205685	3141.3	3	1
Irf4	Plod3	0.2487237795109925	4080.5	7	-1
Batf	Dazap2	0.24807205361595758	3371.55	4	1
Arid3b	Emb	0.2477101492116815	3843.3	6	-1
Cebpz	Slc38a1	0.24631048337576247	3371.45	4	1
Arid3b	Anapc1	0.2456991247024071	3605.35	5	1
Mga	Slc38a1	0.24497548713197004	3371.9	4	1
Ncoa3	Gja1	0.24474932608134242	3370.55	4	1
Zfp445	Slc38a1	0.24457710124979765	3139.25	3	1
Bcl11b	Sh2d3c	0.24241127788370836	3134.15	3	1
Irf2	Ddr1	0.24234576292180282	3611.05	5	-1
Bcl6	Tfg	0.24193001632484962	4073.55	7	-1
Arid3b	Spry1	0.24192535219730832	3604.6	5	-1
Irf1	Papss1	0.2409094263856753	3370.95	4	-1
Cebpb	Aldh3a2	0.24063982467272194	3606.25	5	1
Arid2	Tfg	0.238907478973863	3133.75	3	1
Zfp688	Anapc1	0.23870067552542157	3601.55	5	1
Bcl6	Ddr1	0.23832786266370606	4075.95	7	1
Batf	Psph	0.2383107393034936	3137.25	3	1
Klf3	Gsn	0.2378079632288707	3836.6	6	1
Fosl1	Tfg	0.2373536878053521	4555.15	9	1
Zfp386	Dazap2	0.23719977812289278	3612	5	1
Lef1	Slc38a1	0.23636160665586078	3368.15	4	1
Arid2	Anapc1	0.23496946079937242	3131.35	3	1
